,Year,NOC,Total,Event number,Medal share,GDP,GDP/capita,population (millions),GNI,number of 65+
0,1960,AUS,21,150,4.67,205000837562.694,19948.552170427083,10.276477,18638145369.0223,8.57660655495069
1,1960,AUT,2,150,0.44,84930957865.7421,12051.15117003852,7.047539,6547435003.94828,12.210276523478623
2,1960,BEL,4,150,0.89,107409842457.407,11734.30617083901,9.153489,11807650531.4178,11.987123161452425
3,1960,COL,0,150,0.0,30606244696.9931,1950.9722973195985,15.687688,4019001281.08515,3.083424402627079
4,1960,ESP,1,150,0.22,189278929999.793,6215.036283033754,30.455,12014292254.6682,8.190234772615334
5,1960,FIN,5,150,1.11,50609868256.8301,11425.293434362771,4.429634,5222582942.67438,7.314802983722808
6,1960,FRA,5,150,1.11,521063228394.417,11169.647240700226,46.649927,62588196442.4896,11.668856416431263
7,1960,GHA,1,150,0.22,7657961446.31455,1108.0012104901173,6.91151,1203081232.493,2.95797879189931
8,1960,GUY,0,150,0.0,1555852774.95589,2720.0698875083303,0.57199,156274047.716269,3.327330897393311
9,1960,IND,1,150,0.22,136368084184.196,305.78917810415845,445.954579,36878683724.9837,3.2914641291305142
10,1960,ITA,35,150,7.78,486316973419.168,9687.647006240437,50.1997,40495892097.0731,9.511799871313972
11,1960,JPN,16,150,3.56,583595171244.776,6260.6759702709405,93.216,44096113140.6222,5.799269438722966
12,1960,MEX,1,150,0.22,141339651299.279,3897.0838469082223,36.268055,12666168000.0,2.914074107365283
13,1960,NOR,1,150,0.22,68523641465.0293,19134.0598784469,3.581239,5084204568.38826,11.034477173961301
14,1960,PAK,2,150,0.44,17051906515.055,371.06285970424136,45.954226,3743805557.32885,3.7208569240182614
15,1960,PER,0,150,0.0,27514935716.1709,2704.9130750259897,10.172207,2433616415.34799,3.683979297707961
16,1960,SGP,1,150,0.22,5946828629.61885,3612.019332858874,1.6464,717627074.349928,1.6277332361516035
17,1960,SWE,6,150,1.33,123686642725.624,16525.361048740782,7.484656,15076659811.0189,11.744587860818186
18,1960,THA,0,150,0.0,15908745237.0732,598.1499442587515,26.596584,2753694364.9737,2.898240616163339
19,1960,USA,71,150,15.78,3457188037625.69,19135.268181532676,180.671,546400000000.0,9.230439860298553
20,1964,ARG,1,163,0.2,164381681831.918,7572.231166175607,21.708487,26267861213.2167,5.72348040653409
21,1964,AUS,18,163,3.68,241816300668.972,21654.544700364644,11.167,23796617762.3474,8.598414972687381
22,1964,AUT,0,163,0.0,101684217823.965,14076.276163195109,7.223801,9107032740.77774,12.965667243602086
23,1964,BEL,3,163,0.61,132408661378.724,14118.902318486033,9.378113,16056233835.587,12.505255588197754
24,1964,CIV,0,163,0.0,8230699169.34999,1904.651297771907,4.321368,896802258.688015,2.4128470428808653
