Year,NOC,ID,Gold,Silver,Bronze,Female_Gold,Female_Silver,Female_Bronze,Male_Gold,Male_Silver,Male_Bronze
1912,HUN,HUN1912,3,2,3,0,0,0,3,2,3
1912,ITA,ITA1912,5,1,2,0,0,0,5,1,2
1912,NED,NED1912,0,0,3,0,0,0,0,0,3
1912,NOR,NOR1912,4,2,3,0,1,0,4,1,3
1912,RSA,RSA1912,4,2,0,0,0,0,4,2,0
1912,RUS,RUS1912,0,2,2,0,0,0,0,2,2
1912,SUI,SUI1912,1,0,0,0,0,0,1,0,0
1912,SWE,SWE1912,23,23,17,1,1,2,22,22,15
1912,USA,USA1912,25,18,18,0,0,0,25,18,18
1920,AUS,AUS1920,0,2,1,0,0,0,0,2,1
1920,BEL,BEL1920,15,11,14,0,0,0,15,11,14
1920,BRA,BRA1920,1,1,1,0,0,0,1,1,1
1920,CAN,CAN1920,3,3,3,0,0,0,3,3,3
1920,DEN,DEN1920,3,9,1,1,0,0,2,9,1
1920,ESP,ESP1920,0,2,0,0,0,0,0,2,0
1920,EST,EST1920,1,2,0,0,0,0,1,2,0
1920,FIN,FIN1920,15,10,9,0,0,0,15,10,9
1920,FRA,FRA1920,9,20,13,1,1,1,8,19,12
1920,GBR,GBR1920,14,13,16,1,2,5,13,11,11
1920,GRE,GRE1920,0,1,0,0,0,0,0,1,0
1920,ITA,ITA1920,14,6,5,0,0,0,14,6,5
1920,JPN,JPN1920,0,2,0,0,0,0,0,2,0
1920,LUX,LUX1920,0,1,0,0,0,0,0,1,0
1920,NED,NED1920,4,2,5,0,0,0,4,2,5
1920,NOR,NOR1920,10,9,10,0,0,1,10,9,9
1920,NZL,NZL1920,0,0,1,0,0,0,0,0,1
1920,RSA,RSA1920,3,4,3,0,0,0,3,4,3
1920,SUI,SUI1920,2,2,7,0,0,0,2,2,7
1920,SWE,SWE1920,19,21,24,1,2,1,18,19,23
1920,TCH,TCH1920,0,1,1,0,1,0,0,0,1
1920,USA,USA1920,41,28,26,4,4,3,37,24,23
1924,ARG,ARG1924,1,3,2,0,0,0,1,3,2
1924,AUS,AUS1924,3,1,2,0,0,0,3,1,2
1924,AUT,AUT1924,0,3,1,0,0,0,0,3,1
1924,BEL,BEL1924,3,7,3,0,0,0,3,7,3
1924,CAN,CAN1924,0,3,1,0,0,0,0,3,1
1924,DEN,DEN1924,2,7,2,1,1,0,1,6,2
1924,EST,EST1924,1,1,4,0,0,0,1,1,4
1924,FIN,FIN1924,14,13,10,0,0,0,14,13,10
1924,FRA,FRA1924,14,13,11,0,0,1,14,13,10
1924,GBR,GBR1924,9,12,13,1,3,4,8,9,9
1924,GRE,GRE1924,1,0,0,0,0,0,1,0,0
1924,HAI,HAI1924,0,0,1,0,0,0,0,0,1
1924,HUN,HUN1924,2,4,4,0,0,0,2,4,4
