Year,NOC,ID,Gold,Silver,Bronze,Female_Gold,Female_Silver,Female_Bronze,Male_Gold,Male_Silver,Male_Bronze
1964,URU,URU1964,0,0,1,0,0,0,0,0,1
1964,USA,USA1964,36,24,30,9,7,9,27,17,21
1964,YUG,YUG1964,2,1,2,0,0,0,2,1,2
1968,ARG,ARG1968,0,0,2,0,0,0,0,0,2
1968,AUS,AUS1968,5,6,6,2,2,3,3,4,3
1968,AUT,AUT1968,0,2,2,0,1,1,0,1,1
1968,BEL,BEL1968,0,1,1,0,0,0,0,1,1
1968,BRA,BRA1968,0,1,2,0,0,0,0,1,2
1968,BUL,BUL1968,2,4,3,0,0,0,2,4,3
1968,CAN,CAN1968,1,2,2,0,1,2,1,1,0
1968,CMR,CMR1968,0,1,0,0,0,0,0,1,0
1968,CUB,CUB1968,0,3,1,0,0,1,0,3,0
1968,DEN,DEN1968,1,4,3,0,0,0,1,4,3
1968,ETH,ETH1968,1,1,0,0,0,0,1,1,0
1968,FIN,FIN1968,1,2,1,0,0,0,1,2,1
1968,FRA,FRA1968,7,3,5,1,0,0,6,3,5
1968,FRG,FRG1968,5,10,11,2,1,2,3,9,9
1968,GBR,GBR1968,5,2,6,0,0,3,5,2,3
1968,GDR,GDR1968,9,6,10,1,2,5,8,4,5
1968,GRE,GRE1968,0,0,1,0,0,0,0,0,1
1968,HUN,HUN1968,10,11,11,1,3,2,9,8,9
1968,IND,IND1968,0,0,1,0,0,0,0,0,1
1968,IRI,IRI1968,2,1,2,0,0,0,2,1,2
1968,ITA,ITA1968,3,4,9,0,0,0,3,4,9
1968,JAM,JAM1968,0,1,0,0,0,0,0,1,0
1968,JPN,JPN1968,11,6,8,0,0,1,11,6,7
1968,KEN,KEN1968,3,4,2,0,0,0,3,4,2
1968,KOR,KOR1968,0,1,1,0,0,0,0,1,1
1968,MEX,MEX1968,3,3,3,0,1,1,3,2,2
1968,MGL,MGL1968,0,1,3,0,0,0,0,1,3
1968,NED,NED1968,3,4,0,1,1,0,2,3,0
1968,NOR,NOR1968,1,1,0,0,0,0,1,1,0
1968,NZL,NZL1968,1,0,2,0,0,0,1,0,2
1968,PAK,PAK1968,1,0,0,0,0,0,1,0,0
1968,POL,POL1968,5,4,9,1,2,0,4,2,9
1968,ROU,ROU1968,4,6,5,2,2,2,2,4,3
1968,SUI,SUI1968,0,1,4,0,0,0,0,1,4
1968,SWE,SWE1968,2,1,1,0,0,0,2,1,1
1968,TCH,TCH1968,7,0,6,6,0,2,1,0,4
1968,TPE,TPE1968,0,1,0,0,1,0,0,0,0
1968,TUN,TUN1968,1,0,1,0,0,0,1,0,1
1968,TUR,TUR1968,2,0,0,0,0,0,2,0,0
1968,UGA,UGA1968,0,1,1,0,0,0,0,1,1
1968,URS,URS1968,27,39,23,6,12,5,21,27,18
1968,USA,USA1968,45,30,32,15,10,8,30,20,24
1968,VEN,VEN1968,1,0,0,0,0,0,1,0,0
1968,YUG,YUG1968,3,2,3,1,0,1,2,2,2
1972,ARG,ARG1972,0,1,0,0,0,0,0,1,0
1972,AUS,AUS1972,7,6,3,5,2,3,2,4,0
1972,AUT,AUT1972,0,2,1,0,1,0,0,1,1
1972,BEL,BEL1972,0,2,0,0,0,0,0,2,0
1972,BRA,BRA1972,0,0,2,0,0,0,0,0,2
1972,BUL,BUL1972,6,10,5,0,2,2,6,8,3
1972,CAN,CAN1972,0,2,2,0,1,1,0,1,1
1972,COL,COL1972,0,1,2,0,0,0,0,1,2
1972,CUB,CUB1972,3,3,2,0,2,0,3,1,2
1972,DEN,DEN1972,1,0,0,0,0,0,1,0,0
1972,ESP,ESP1972,0,0,1,0,0,0,0,0,1
1972,ETH,ETH1972,0,0,2,0,0,0,0,0,2
1972,FIN,FIN1972,3,1,4,0,0,0,3,1,4
1972,FRA,FRA1972,2,4,7,0,0,0,2,4,7
1972,FRG,FRG1972,13,11,15,5,4,4,8,7,11
1972,GBR,GBR1972,4,4,10,2,0,1,2,4,9
1972,GDR,GDR1972,20,17,27,9,7,12,11,10,15
1972,GHA,GHA1972,0,0,1,0,0,0,0,0,1
1972,GRE,GRE1972,0,2,0,0,0,0,0,2,0
1972,HUN,HUN1972,6,13,16,0,3,3,6,10,13
1972,IND,IND1972,0,0,1,0,0,0,0,0,1
1972,IRI,IRI1972,0,2,1,0,0,0,0,2,1
1972,ITA,ITA1972,5,5,8,1,3,1,4,2,7
1972,JAM,JAM1972,0,0,1,0,0,0,0,0,1
1972,JPN,JPN1972,13,7,9,1,0,1,12,7,8
1972,KEN,KEN1972,2,3,4,0,0,0,2,3,4
1972,KOR,KOR1972,0,1,0,0,0,0,0,1,0
1972,LIB,LIB1972,0,1,0,0,0,0,0,1,0
1972,MEX,MEX1972,0,1,0,0,0,0,0,1,0
1972,MGL,MGL1972,0,1,0,0,0,0,0,1,0
1972,NED,NED1972,3,0,2,0,0,1,3,0,1
1972,NGR,NGR1972,0,0,1,0,0,0,0,0,1
1972,NIG,NIG1972,0,0,1,0,0,0,0,0,1
1972,NOR,NOR1972,2,1,1,0,0,0,2,1,1
1972,NZL,NZL1972,1,1,1,0,0,0,1,1,1
1972,PAK,PAK1972,0,1,0,0,0,0,0,1,0
1972,POL,POL1972,7,5,9,0,1,1,7,4,8
1972,PRK,PRK1972,1,2,2,0,1,0,1,1,2
1972,ROU,ROU1972,3,6,7,0,2,2,3,4,5
1972,SUI,SUI1972,0,3,0,0,0,0,0,3,0
1972,SWE,SWE1972,4,4,6,1,1,1,3,3,5
1972,TCH,TCH1972,2,4,2,0,1,1,2,3,1
1972,TUN,TUN1972,0,1,0,0,0,0,0,1,0
1972,TUR,TUR1972,0,1,0,0,0,0,0,1,0
1972,UGA,UGA1972,1,1,0,0,0,0,1,1,0
1972,URS,URS1972,49,27,22,11,6,6,38,21,16
1972,USA,USA1972,33,31,30,10,6,6,23,25,24
1972,YUG,YUG1972,2,1,2,0,0,0,2,1,2
1976,AUS,AUS1976,0,1,4,0,0,0,0,1,4
1976,AUT,AUT1976,0,0,1,0,0,0,0,0,1
1976,BEL,BEL1976,0,3,3,0,0,0,0,3,3
1976,BER,BER1976,0,0,1,0,0,0,0,0,1
1976,BRA,BRA1976,0,0,2,0,0,0,0,0,2
1976,BUL,BUL1976,6,8,8,3,2,3,3,6,5
1976,CAN,CAN1976,0,10,1,0,6,1,0,4,0
1976,CUB,CUB1976,6,4,3,0,0,0,6,4,3
1976,DEN,DEN1976,1,0,2,0,0,0,1,0,2
1976,ESP,ESP1976,0,2,0,0,0,0,0,2,0
1976,FIN,FIN1976,4,2,0,0,0,0,4,2,0
1976,FRA,FRA1976,2,2,5,0,0,1,2,2,4
1976,FRG,FRG1976,10,11,17,1,2,3,9,9,14
1976,GBR,GBR1976,3,5,5,0,0,0,3,5,5
1976,GDR,GDR1976,40,19,30,25,9,15,15,10,15
1976,HUN,HUN1976,4,8,10,1,4,1,3,4,9
1976,IRI,IRI1976,0,1,1,0,0,0,0,1,1
1976,ITA,ITA1976,2,5,6,0,0,2,2,5,4
1976,JAM,JAM1976,1,1,0,0,0,0,1,1,0
1976,JPN,JPN1976,9,6,10,1,0,0,8,6,10
1976,KOR,KOR1976,1,2,3,0,1,0,1,1,3
1976,MEX,MEX1976,1,0,1,0,0,0,1,0,1
1976,MGL,MGL1976,0,1,0,0,0,0,0,1,0
1976,NED,NED1976,0,4,1,0,2,0,0,2,1
1976,NOR,NOR1976,1,1,0,0,0,0,1,1,0
1976,NZL,NZL1976,2,1,1,0,0,0,2,1,1
1976,PAK,PAK1976,0,0,1,0,0,0,0,0,1
1976,POL,POL1976,7,6,13,1,0,0,6,6,13
1976,POR,POR1976,0,2,0,0,0,0,0,2,0
1976,PRK,PRK1976,1,1,0,0,0,0,1,1,0
1976,PUR,PUR1976,0,0,1,0,0,0,0,0,1
1976,ROU,ROU1976,4,10,13,3,3,2,1,7,11
1976,SUI,SUI1976,1,1,2,1,0,0,0,1,2
1976,SWE,SWE1976,4,0,1,0,0,1,4,0,0
1976,TCH,TCH1976,2,3,3,0,1,0,2,2,3
1976,THA,THA1976,0,0,1,0,0,0,0,0,1
1976,TTO,TTO1976,1,0,0,0,0,0,1,0,0
1976,URS,URS1976,49,40,35,11,12,12,38,28,23
1976,USA,USA1976,34,33,27,3,7,9,31,26,18
1976,VEN,VEN1976,0,1,0,0,0,0,0,1,0
1976,YUG,YUG1976,2,3,3,0,0,0,2,3,3
1980,AUS,AUS1980,2,3,4,1,1,0,1,2,4
1980,AUT,AUT1980,1,2,1,1,0,0,0,2,1
1980,BEL,BEL1980,1,0,0,0,0,0,1,0,0
1980,BRA,BRA1980,2,0,2,0,0,0,2,0,2
1980,BUL,BUL1980,8,15,18,0,3,4,8,12,14
1980,CUB,CUB1980,8,7,5,1,0,0,7,7,5
1980,DEN,DEN1980,2,2,1,0,1,0,2,1,1
1980,ESP,ESP1980,1,3,2,0,0,0,1,3,2
1980,ETH,ETH1980,2,0,2,0,0,0,2,0,2
1980,FIN,FIN1980,3,2,3,0,1,0,3,1,3
1980,FRA,FRA1980,6,5,3,2,0,0,4,5,3
1980,GBR,GBR1980,5,7,9,0,2,2,5,5,7
1980,GDR,GDR1980,47,36,41,24,17,17,23,19,24
1980,GRE,GRE1980,1,0,2,0,0,0,1,0,2
1980,GUY,GUY1980,0,0,1,0,0,0,0,0,1
1980,HUN,HUN1980,7,11,14,0,2,1,7,9,13
1980,IND,IND1980,1,0,0,0,0,0,1,0,0
1980,IRL,IRL1980,0,1,1,0,0,0,0,1,1
1980,ITA,ITA1980,8,2,5,1,0,1,7,2,4
1980,JAM,JAM1980,0,1,2,0,1,0,0,0,2
1980,LIB,LIB1980,0,0,1,0,0,0,0,0,1
1980,MEX,MEX1980,0,1,3,0,0,0,0,1,3
1980,MGL,MGL1980,0,2,2,0,0,0,0,2,2
1980,NED,NED1980,0,2,1,0,1,0,0,1,1
1980,POL,POL1980,3,15,14,0,3,2,3,12,12
1980,PRK,PRK1980,0,3,2,0,0,0,0,3,2
1980,ROU,ROU1980,6,7,11,3,4,3,3,3,8
1980,SUI,SUI1980,2,0,0,0,0,0,2,0,0
1980,SWE,SWE1980,3,2,7,0,0,1,3,2,6
1980,TAN,TAN1980,0,2,0,0,0,0,0,2,0
1980,TCH,TCH1980,2,1,11,0,0,2,2,1,9
1980,UGA,UGA1980,0,1,0,0,0,0,0,1,0
1980,URS,URS1980,79,65,48,17,13,16,62,52,32
1980,VEN,VEN1980,0,1,0,0,0,0,0,1,0
1980,YUG,YUG1980,2,3,4,0,1,1,2,2,3
1980,ZIM,ZIM1980,1,0,0,1,0,0,0,0,0
1984,ALG,ALG1984,0,0,2,0,0,0,0,0,2
1984,AUS,AUS1984,4,10,10,1,4,2,3,6,8
1984,AUT,AUT1984,1,1,1,0,0,0,1,1,1
1984,BEL,BEL1984,1,3,0,0,2,0,1,1,0
1984,BRA,BRA1984,1,5,2,0,0,0,1,5,2
1984,CAN,CAN1984,10,14,20,4,4,8,6,10,12
1984,CHN,CHN1984,14,10,6,5,4,1,9,6,5
1984,CIV,CIV1984,0,1,0,0,0,0,0,1,0
1984,CMR,CMR1984,0,0,1,0,0,0,0,0,1
1984,COL,COL1984,0,1,0,0,0,0,0,1,0
1984,DEN,DEN1984,0,3,3,0,1,1,0,2,2
1984,DOM,DOM1984,0,0,1,0,0,0,0,0,1
1984,EGY,EGY1984,0,1,0,0,0,0,0,1,0
1984,ESP,ESP1984,1,2,2,0,0,0,1,2,2
1984,FIN,FIN1984,4,1,7,0,0,1,4,1,6
1984,FRA,FRA1984,5,10,11,0,3,0,5,7,11
1984,FRG,FRG1984,17,24,18,3,10,5,14,14,13
1984,GBR,GBR1984,5,14,18,1,7,4,4,7,14
1984,GRE,GRE1984,0,1,1,0,0,0,0,1,1
1984,IRL,IRL1984,0,1,0,0,0,0,0,1,0
1984,ISL,ISL1984,0,0,1,0,0,0,0,0,1
1984,ITA,ITA1984,14,5,13,1,1,2,13,4,11
1984,JAM,JAM1984,0,3,0,0,2,0,0,1,0
1984,JPN,JPN1984,10,9,11,0,3,0,10,6,11
1984,KEN,KEN1984,1,0,2,0,0,0,1,0,2
1984,KOR,KOR1984,6,5,8,1,1,2,5,4,6
1984,MAR,MAR1984,2,0,0,1,0,0,1,0,0
1984,MEX,MEX1984,2,3,1,0,0,0,2,3,1
1984,NED,NED1984,5,5,3,4,5,2,1,0,1
1984,NGR,NGR1984,0,1,1,0,0,0,0,1,1
1984,NOR,NOR1984,0,0,3,0,0,1,0,0,2
1984,NZL,NZL1984,8,1,2,0,0,0,8,1,2
1984,PAK,PAK1984,1,0,0,0,0,0,1,0,0
1984,PER,PER1984,0,1,0,0,0,0,0,1,0
1984,POR,POR1984,1,1,1,0,1,0,1,0,1
1984,PUR,PUR1984,0,1,1,0,0,0,0,1,1
1984,ROU,ROU1984,19,16,17,13,7,7,6,9,10
1984,SUI,SUI1984,0,4,4,0,1,1,0,3,3
1984,SWE,SWE1984,2,11,6,2,1,1,0,10,5
1984,SYR,SYR1984,0,1,0,0,0,0,0,1,0
1984,THA,THA1984,0,1,0,0,0,0,0,1,0
1984,TPE,TPE1984,0,0,1,0,0,0,0,0,1
1984,TUR,TUR1984,0,0,3,0,0,0,0,0,3
1984,USA,USA1984,80,44,46,26,8,25,54,36,21
1984,VEN,VEN1984,0,0,3,0,0,0,0,0,3
1984,YUG,YUG1984,7,4,7,1,0,0,6,4,7
1984,ZAM,ZAM1984,0,0,1,0,0,0,0,0,1
1988,AHO,AHO1988,0,1,0,0,0,0,0,1,0
1988,ARG,ARG1988,0,0,2,0,0,1,0,0,1
1988,AUS,AUS1988,3,6,4,2,1,1,1,5,3
1988,AUT,AUT1988,1,0,0,0,0,0,1,0,0
1988,BEL,BEL1988,0,0,2,0,0,0,0,0,2
1988,BRA,BRA1988,1,2,3,0,0,0,1,2,3
1988,BUL,BUL1988,9,12,12,3,6,6,6,6,6
1988,CAN,CAN1988,3,4,3,2,2,0,1,2,3
1988,CHI,CHI1988,0,1,0,0,0,0,0,1,0
1988,CHN,CHN1988,5,9,13,3,5,7,2,4,6
1988,COL,COL1988,0,0,1,0,0,0,0,0,1
1988,CRC,CRC1988,0,0,1,0,0,1,0,0,0
1988,DEN,DEN1988,2,1,1,0,0,0,2,1,1
1988,DJI,DJI1988,0,0,1,0,0,0,0,0,1
1988,ESP,ESP1988,1,1,2,0,0,0,1,1,2
1988,FIN,FIN1988,1,1,2,0,0,0,1,1,2
1988,FRA,FRA1988,6,4,6,0,1,1,6,3,5
1988,FRG,FRG1988,11,14,15,5,3,3,6,11,12
1988,GBR,GBR1988,5,9,10,0,2,3,5,7,7
1988,GDR,GDR1988,37,34,31,20,15,16,17,19,15
1988,GRE,GRE1988,0,0,1,0,0,0,0,0,1
1988,HUN,HUN1988,10,5,7,1,1,2,9,4,5
1988,INA,INA1988,0,0,1,0,0,1,0,0,0
1988,IRI,IRI1988,0,1,0,0,0,0,0,1,0
1988,ISV,ISV1988,0,1,0,0,0,0,0,1,0
1988,ITA,ITA1988,6,3,5,0,0,1,6,3,4
1988,JAM,JAM1988,0,1,1,0,0,1,0,1,0
1988,JPN,JPN1988,4,4,6,0,2,1,4,2,5
1988,KEN,KEN1988,5,2,2,0,0,0,5,2,2
1988,KOR,KOR1988,12,9,12,4,1,2,8,8,10
1988,MAR,MAR1988,1,0,2,0,0,0,1,0,2
1988,MEX,MEX1988,0,0,2,0,0,0,0,0,2
1988,MGL,MGL1988,0,0,1,0,0,0,0,0,1
1988,NED,NED1988,2,3,4,1,2,1,1,1,3
1988,NOR,NOR1988,2,2,1,0,0,1,2,2,0
1988,NZL,NZL1988,3,3,7,0,1,0,3,2,7
1988,PAK,PAK1988,0,0,1,0,0,0,0,0,1
1988,PER,PER1988,0,0,1,0,0,1,0,0,0
1988,PHI,PHI1988,0,0,1,0,0,0,0,0,1
1988,POL,POL1988,2,6,8,0,1,0,2,5,8
1988,POR,POR1988,1,0,0,1,0,0,0,0,0
1988,ROU,ROU1988,7,8,7,5,4,7,2,4,0
1988,SEN,SEN1988,0,1,0,0,0,0,0,1,0
1988,SUI,SUI1988,0,3,1,0,1,0,0,2,1
1988,SUR,SUR1988,1,0,0,0,0,0,1,0,0
1988,SWE,SWE1988,0,3,7,0,0,1,0,3,6
1988,TCH,TCH1988,3,2,2,0,0,1,3,2,1
1988,THA,THA1988,0,0,1,0,0,0,0,0,1
1988,TUR,TUR1988,1,1,0,0,0,0,1,1,0
1988,URS,URS1988,53,40,37,13,16,7,40,24,30
1988,USA,USA1988,36,33,23,12,9,7,24,24,16
1988,YUG,YUG1988,3,5,4,1,2,1,2,3,3
1992,ALG,ALG1992,1,0,1,1,0,0,0,0,1
1992,ARG,ARG1992,0,0,1,0,0,0,0,0,1
1992,AUS,AUS1992,7,12,7,1,6,3,6,6,4
1992,AUT,AUT1992,0,2,0,0,0,0,0,2,0
1992,BAH,BAH1992,0,0,1,0,0,0,0,0,1
1992,BEL,BEL1992,0,1,2,0,1,1,0,0,1
1992,BRA,BRA1992,2,1,0,0,0,0,2,1,0
1992,BUL,BUL1992,3,6,7,0,2,3,3,4,4
1992,CAN,CAN1992,6,5,6,3,2,1,3,3,5
1992,CHN,CHN1992,16,13,22,12,6,15,4,7,7
1992,COL,COL1992,0,1,0,0,1,0,0,0,0
1992,CRO,CRO1992,0,1,0,0,0,0,0,1,0
1992,CUB,CUB1992,14,9,8,3,4,1,11,5,7
1992,DEN,DEN1992,1,1,4,0,0,0,1,1,4
1992,ESP,ESP1992,13,4,4,4,0,3,9,4,1
1992,EST,EST1992,1,0,1,1,0,0,0,0,1
1992,ETH,ETH1992,1,0,2,1,0,0,0,0,2
1992,EUN,EUN1992,44,34,29,12,10,13,32,24,16
1992,FIN,FIN1992,1,2,2,0,0,0,1,2,2
1992,FRA,FRA1992,8,7,14,3,3,1,5,4,13
1992,GBR,GBR1992,5,6,9,1,4,1,4,2,8
1992,GER,GER1992,33,21,26,11,11,10,22,10,16
1992,GHA,GHA1992,0,0,1,0,0,0,0,0,1
1992,GRE,GRE1992,2,0,0,1,0,0,1,0,0
1992,HUN,HUN1992,10,10,9,4,1,3,6,9,6
1992,INA,INA1992,2,2,0,1,0,0,1,2,0
1992,IOA,IOA1992,0,1,2,0,1,1,0,0,1
1992,IRI,IRI1992,0,1,2,0,0,0,0,1,2
1992,IRL,IRL1992,1,1,0,0,0,0,1,1,0
1992,ISR,ISR1992,0,0,2,0,0,1,0,0,1
1992,ITA,ITA1992,6,4,9,2,0,1,4,4,8
1992,JAM,JAM1992,0,2,2,0,1,2,0,1,0
1992,JPN,JPN1992,3,8,10,1,4,4,2,4,6
1992,KEN,KEN1992,2,4,2,0,0,0,2,4,2
1992,KOR,KOR1992,12,6,10,6,3,2,6,3,8
1992,LAT,LAT1992,0,2,1,0,0,0,0,2,1
1992,LTU,LTU1992,1,0,1,0,0,0,1,0,1
1992,MAR,MAR1992,1,1,1,0,0,0,1,1,1
1992,MEX,MEX1992,0,1,0,0,0,0,0,1,0
1992,MGL,MGL1992,0,1,1,0,1,0,0,0,1
1992,NAM,NAM1992,0,2,0,0,0,0,0,2,0
1992,NED,NED1992,2,9,4,1,4,1,1,5,3
1992,NGR,NGR1992,0,4,0,0,1,0,0,3,0
1992,NOR,NOR1992,2,3,2,1,0,1,1,3,1
1992,NZL,NZL1992,1,3,6,1,1,2,0,2,4
1992,PAK,PAK1992,0,0,1,0,0,0,0,0,1
1992,PER,PER1992,0,1,0,0,0,0,0,1,0
1992,PHI,PHI1992,0,0,1,0,0,0,0,0,1
1992,POL,POL1992,3,8,7,0,2,0,3,6,7
1992,PRK,PRK1992,4,0,3,0,0,0,4,0,3
1992,PUR,PUR1992,0,0,1,0,0,0,0,0,1
1992,QAT,QAT1992,0,0,1,0,0,0,0,0,1
1992,ROU,ROU1992,4,4,10,3,3,5,1,1,5
1992,RSA,RSA1992,0,1,1,0,0,1,0,1,0
1992,SLO,SLO1992,0,0,2,0,0,0,0,0,2
1992,SUI,SUI1992,1,0,0,0,0,0,1,0,0
1992,SUR,SUR1992,0,0,1,0,0,0,0,0,1
1992,SWE,SWE1992,1,7,4,0,1,1,1,6,3
1992,TCH,TCH1992,4,2,1,0,0,0,4,2,1
1992,THA,THA1992,0,0,1,0,0,0,0,0,1
1992,TPE,TPE1992,0,1,0,0,0,0,0,1,0
1992,TUR,TUR1992,2,3,1,0,1,0,2,2,1
1992,USA,USA1992,37,42,27,14,19,10,23,23,17
1996,ALG,ALG1996,2,0,1,0,0,0,2,0,1
1996,ARG,ARG1996,0,2,1,0,0,0,0,2,1
1996,ARM,ARM1996,1,1,0,0,0,0,1,1,0
1996,AUS,AUS1996,9,13,19,3,9,5,6,4,14
1996,AUT,AUT1996,0,2,1,0,1,0,0,1,1
1996,AZE,AZE1996,0,1,0,0,0,0,0,1,0
1996,BAH,BAH1996,0,0,1,0,0,1,0,0,0
1996,BDI,BDI1996,1,0,0,0,0,0,1,0,0
1996,BEL,BEL1996,2,2,2,1,1,1,1,1,1
1996,BLR,BLR1996,1,7,6,1,2,1,0,5,5
1996,BRA,BRA1996,3,2,10,1,1,2,2,1,8
1996,BUL,BUL1996,3,6,6,1,1,2,2,5,4
1996,CAN,CAN1996,3,9,10,1,4,6,2,5,4
1996,CHN,CHN1996,16,15,19,9,6,13,7,9,6
1996,CRC,CRC1996,1,0,0,1,0,0,0,0,0
1996,CRO,CRO1996,1,1,0,0,0,0,1,1,0
1996,CUB,CUB1996,9,9,7,2,3,2,7,6,5
1996,CZE,CZE1996,4,4,3,1,2,1,3,2,2
1996,DEN,DEN1996,4,2,0,2,1,0,2,1,0
1996,ECU,ECU1996,1,0,0,0,0,0,1,0,0
1996,ESP,ESP1996,5,8,4,2,3,1,3,5,3
1996,ETH,ETH1996,2,1,0,1,1,0,1,0,0
1996,FIN,FIN1996,1,2,1,1,0,0,0,2,1
1996,FRA,FRA1996,15,9,13,8,5,3,7,4,10
1996,GBR,GBR1996,1,9,5,0,1,0,1,8,5
1996,GEO,GEO1996,0,0,2,0,0,0,0,0,2
1996,GER,GER1996,20,16,29,5,8,10,15,8,19
1996,GRE,GRE1996,4,3,1,0,0,1,4,3,0
1996,HKG,HKG1996,1,0,0,1,0,0,0,0,0
1996,HUN,HUN1996,7,7,6,2,4,0,5,3,6
1996,INA,INA1996,1,1,2,0,1,1,1,0,1
1996,IND,IND1996,0,0,1,0,0,0,0,0,1
1996,IRI,IRI1996,1,1,1,0,0,0,1,1,1
1996,IRL,IRL1996,3,1,0,3,1,0,0,0,0
1996,ISR,ISR1996,0,0,1,0,0,0,0,0,1
1996,ITA,ITA1996,13,10,12,3,5,5,10,5,7
1996,JAM,JAM1996,1,2,3,1,1,2,0,1,1
1996,JPN,JPN1996,3,6,5,1,3,3,2,3,2
1996,KAZ,KAZ1996,3,4,4,0,0,0,3,4,4
1996,KEN,KEN1996,1,3,4,0,0,1,1,3,3
1996,KOR,KOR1996,7,11,9,5,2,6,2,9,3
1996,LAT,LAT1996,0,1,0,0,0,0,0,1,0
1996,LTU,LTU1996,0,0,1,0,0,0,0,0,1
1996,MAR,MAR1996,0,0,2,0,0,0,0,0,2
1996,MAS,MAS1996,0,1,1,0,0,0,0,1,1
1996,MDA,MDA1996,0,1,1,0,0,0,0,1,1
1996,MEX,MEX1996,0,0,1,0,0,0,0,0,1
1996,MGL,MGL1996,0,0,1,0,0,0,0,0,1
1996,MOZ,MOZ1996,0,1,0,0,1,0,0,0,0
1996,NAM,NAM1996,0,2,0,0,0,0,0,2,0
1996,NED,NED1996,4,8,7,0,7,4,4,1,3
1996,NGR,NGR1996,2,2,2,1,2,1,1,0,1
1996,NOR,NOR1996,2,4,1,0,2,0,2,2,1
1996,NZL,NZL1996,3,0,3,0,0,2,3,0,1
1996,PHI,PHI1996,0,1,0,0,0,0,0,1,0
1996,POL,POL1996,7,6,4,1,2,1,6,4,3
1996,POR,POR1996,1,0,1,1,0,0,0,0,1
1996,PRK,PRK1996,2,1,2,1,0,0,1,1,2
1996,PUR,PUR1996,0,0,1,0,0,0,0,0,1
1996,ROU,ROU1996,4,7,8,4,4,4,0,3,4
1996,RSA,RSA1996,3,2,0,2,1,0,1,1,0
1996,RUS,RUS1996,26,17,19,6,4,8,20,13,11
1996,SCG,SCG1996,1,2,1,1,1,0,0,1,1
1996,SLO,SLO1996,0,1,1,0,0,1,0,1,0
1996,SUI,SUI1996,4,2,1,0,0,1,4,2,0
1996,SVK,SVK1996,1,1,1,0,0,0,1,1,1
1996,SWE,SWE1996,2,5,1,2,1,0,0,4,1
1996,SYR,SYR1996,1,0,0,1,0,0,0,0,0
1996,TGA,TGA1996,0,1,0,0,0,0,0,1,0
1996,THA,THA1996,1,0,1,0,0,0,1,0,1
1996,TPE,TPE1996,0,0,1,0,0,1,0,0,0
1996,TTO,TTO1996,0,0,2,0,0,0,0,0,2
1996,TUN,TUN1996,0,0,1,0,0,0,0,0,1
1996,TUR,TUR1996,4,1,1,0,0,0,4,1,1
1996,UGA,UGA1996,0,0,1,0,0,0,0,0,1
1996,UKR,UKR1996,9,4,10,4,4,2,5,0,8
1996,USA,USA1996,44,31,25,19,10,10,25,21,15
1996,UZB,UZB1996,0,1,1,0,0,0,0,1,1
1996,ZAM,ZAM1996,0,1,0,0,0,0,0,1,0
2000,ALG,ALG2000,1,1,3,1,0,0,0,1,3
2000,ARG,ARG2000,0,2,2,0,1,1,0,1,1
2000,ARM,ARM2000,0,0,1,0,0,0,0,0,1
2000,AUS,AUS2000,16,22,20,7,6,9,9,16,11
2000,AUT,AUT2000,2,0,1,0,0,1,2,0,0
2000,AZE,AZE2000,2,0,1,1,0,0,1,0,1
2000,BAH,BAH2000,2,0,1,2,0,0,0,0,1
2000,BAR,BAR2000,0,0,1,0,0,0,0,0,1
2000,BEL,BEL2000,0,5,0,0,3,0,0,2,0
2000,BLR,BLR2000,3,4,10,3,3,2,0,1,8
2000,BRA,BRA2000,0,8,4,0,3,1,0,5,3
2000,BUL,BUL2000,5,5,3,2,0,1,3,5,2
2000,CAN,CAN2000,3,6,5,0,5,2,3,1,3
2000,CHI,CHI2000,0,0,1,0,0,0,0,0,1
2000,CHN,CHN2000,28,16,14,17,9,9,11,7,5
2000,CMR,CMR2000,1,0,0,0,0,0,1,0,0
2000,COL,COL2000,1,0,0,1,0,0,0,0,0
2000,CRC,CRC2000,0,2,0,0,2,0,0,0,0
2000,CRO,CRO2000,1,0,1,0,0,0,1,0,1
2000,CUB,CUB2000,11,9,9,3,1,3,8,8,6
2000,CZE,CZE2000,2,3,3,1,0,0,1,3,3
2000,DEN,DEN2000,2,2,2,1,0,1,1,2,1
2000,ESP,ESP2000,3,6,2,1,3,0,2,3,2
2000,EST,EST2000,1,0,2,0,0,0,1,0,2
2000,ETH,ETH2000,4,1,3,1,1,1,3,0,2
2000,FIN,FIN2000,2,1,1,0,0,0,2,1,1
2000,FRA,FRA2000,13,13,12,3,4,5,10,9,7
2000,GBR,GBR2000,11,11,6,3,4,3,8,7,3
2000,GEO,GEO2000,0,0,6,0,0,0,0,0,6
2000,GER,GER2000,13,22,21,6,10,5,7,12,16
2000,GRE,GRE2000,4,5,3,0,2,2,4,3,1
2000,HUN,HUN2000,8,3,6,2,1,4,6,2,2
2000,INA,INA2000,1,4,1,0,2,1,1,2,0
2000,IND,IND2000,0,1,0,0,1,0,0,0,0
2000,IRI,IRI2000,3,0,1,0,0,0,3,0,1
2000,IRL,IRL2000,0,0,1,0,0,1,0,0,0
2000,ISL,ISL2000,0,1,0,0,1,0,0,0,0
2000,ISR,ISR2000,0,0,1,0,0,0,0,0,1
2000,ITA,ITA2000,13,9,12,6,3,2,7,6,10
2000,JAM,JAM2000,0,3,6,0,2,5,0,1,1
