Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,
Aruba,ABW,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,6.44440450867601,6.56493669102193,6.69092857479563,6.81587146062361,6.94787671685593,7.08566551384305,7.232573221042,7.38864733359182,7.55125168236041,7.71374666404279,7.85997356797529,7.97259872870571,8.08720695163515,8.20193672419455,8.31086252903638,8.42005084861192,8.52629768919562,8.64550446935892,8.75710617548607,8.84445789243013,8.95387186364512,9.0484950455307,9.13203766676777,9.2526655776567,9.40119819680166,9.5367349791265,9.6813512218475,9.82572225643674,9.9831246756956,10.1464311233661,10.3143387452117,10.5061668917766,10.724558526255,10.916461947309,11.0781897703615,11.2484515008523,11.4008956562399,11.5519317352345,11.6966626184608,11.8300872894397,11.9613340049985,12.097637621428,12.2196928493299,12.3301853313847,12.4418183153271,12.5526853211196,12.6720405150733,12.6971218686071,12.8441003620906,12.999082483745,13.1604035304176,13.3278802774879,13.4936868597545,13.6572200983789,13.8141638140126,13.9342931889747,14.06590307608,14.2078776865252,14.3370034856774,14.4551632608141,14.5810549705952,14.721331803382,14.8767240677824,
Afghanistan,AFG,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,3.30940127801026,3.4169990466591,3.52520172990508,3.63451020560821,3.7451924073867,3.8557588294252,3.96837541130681,4.07678098866837,4.18005655859123,4.28401039821948,4.38847087005071,4.49627296360147,4.68255130594246,4.9515844290928,5.2372564202213,5.54604419074956,5.88627190063602,6.2517473180466,6.64887684867494,7.17974362194698,7.83096737622822,9.19158293512574,10.6582295570636,11.3305610067438,11.5436962827638,11.7954236312193,12.4449080542343,13.1604848239201,13.670240940881,13.8938691867307,14.4866718355357,15.0644191942294,14.0268911301435,12.6173970419373,11.9441262381066,11.7467832216897,11.7801409339497,11.8349172027665,11.8939560913749,11.9300070233647,12.2862979661957,12.7407379039844,12.4798669120986,12.0916108673256,12.0324149848997,11.9010088446729,11.705331741484,11.7862121125026,11.8432679906788,11.7157094495965,11.6674113838572,11.5273510275869,11.3452427502371,11.2336594326489,11.1023526258084,11.0315763115403,11.0209556144528,10.9790172199535,10.935191266697,10.8924664317099,10.8321540748374,10.8125390809483,10.8388407715854,
Africa Western and Central,AFW,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,4.88558485387682,5.1336412301836,5.38529036441525,5.63554886475162,5.86631548311534,6.08926726076968,6.32400738063599,6.5743881388631,6.83896087247599,7.12499613379467,7.41747933192585,7.71622770836163,8.0544532954207,8.38487730638872,8.70972484334696,9.04397753345171,9.37748892112742,9.69321060253824,9.99959762689156,10.2576086776217,10.5271203566242,10.8067081530304,11.094476218026,11.4174864137349,11.6831203017995,11.9578043324842,12.2271805265033,12.4980174757353,12.7689628799291,13.0235151290016,13.3083935151419,13.5869802888983,13.6083605656154,13.646527517205,13.7156410066919,13.7908580183631,14.093716329296,14.2264692805747,14.3644097905706,14.5080339527807,14.6905782308821,14.8655114941876,15.0438762561157,15.2271056578673,15.4166490032473,15.5268374016418,15.6252905403594,15.6972581950482,15.7810308623263,15.8890044230531,15.9916193245052,16.0955918460002,16.2076282799984,16.3295973616181,16.4557572198799,16.590903811257,16.733758943305,16.8813000240148,17.0388346829955,17.1746031769028,17.3213584273223,17.4835342393987,17.6616110585785,
Angola,AGO,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,4.09593079960688,4.2845016101753,4.55270402434165,4.84013166835333,5.15183761401636,5.49295730454128,5.87104573595777,6.28641461016837,6.73192457725133,7.18416445892693,7.6160505497786,7.909764031336,8.07653929129134,8.22046355934651,8.36312387780129,8.51028614419499,8.66535109085455,8.81817437544055,8.9670453536535,9.11507060979822,9.25983971038819,9.40084623024826,9.54106960516598,9.68149581527152,10.0239329519671,10.3770968729029,10.7478252756767,11.1459570488543,11.5682532265739,12.0036910710592,12.4599975077435,12.9361106597591,13.4421061472596,13.9773681631075,14.4148234393458,14.8524182244242,15.298424914919,15.7543137563171,16.2342882711788,16.7376935423291,17.2551500659202,17.7782223117586,18.309588659921,18.8421019643086,19.3737455799799,19.906730562745,20.4491194970425,20.9962953050845,21.5532271087294,22.1161147082546,22.6862867247456,23.265576384889,23.8617410025261,24.474626192326,25.026808683481,24.9689834451927,24.9202959957188,24.8781407748806,24.8587199917579,24.8650474253427,24.9182628253041,25.0171937713248,25.1552425473644,
Albania,ALB,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,14.192062429112,14.5372043863154,14.8933974962107,15.2778523168933,15.7032098709849,16.1506341001444,16.5422027681465,16.8082325949632,17.0862220022946,17.3812596940812,17.6912190780246,18.0148487866049,18.351545318678,18.6988057066985,19.0220416015258,19.2804560738794,19.3688608597531,19.4445093103489,19.5413551754828,19.593601027689,19.6204375293401,19.6896258395975,19.7502803583959,19.7708327728672,19.8224345347823,19.902219522589,19.9944427034653,20.1409463447585,20.3774576609746,20.5937974494551,20.9061055477043,21.2289887346726,21.4846205546197,21.6046905557315,21.6413889765892,21.6847716556776,21.7657991452264,21.815393598913,21.8595311627693,21.9072847362603,21.9587698677854,22.0228341322494,22.1288421287455,22.2138060716318,22.2078500063789,22.2144525789494,22.2076828362992,22.054930845163,22.1185374616609,22.1989624518429,22.2902960553102,22.0709742489788,21.9696498620049,21.9155481930566,21.9256092306486,22.1738811985521,22.4929195821275,22.6658274730278,22.8344641908019,22.8656740902098,22.9563867852674,23.0745542080231,23.1589145620258,
United Arab Emirates,ARE,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,42.7143135520813,44.1092606253192,45.6645418701344,47.4204807459588,49.4207676718793,51.6562426278935,54.1611646548937,56.9638043092098,57.1658660374002,55.7424948965691,54.7865702285262,54.8513408782833,55.7550564775925,57.3500835700018,59.6107367543779,62.5168846177911,62.8569614296856,60.8859450443581,59.6534410622542,59.0735669028193,59.1942393259491,58.9965278408988,58.404289569947,57.9301244695258,57.6138607126178,57.4536655803111,56.8307145721684,55.8460545627952,55.1295049359113,54.6362956513974,54.3548907428936,54.2632057730025,54.3529510719765,54.6056194350339,55.0315926327938,55.6027802930828,55.8820088349558,55.8899668950981,56.1005843629007,56.4940890629182,57.0625643255205,57.7835144366362,58.6719983047372,59.7200220378278,60.9315913324664,60.7205384358255,56.8176594432199,50.8406974463204,45.8344023231838,42.9931822310615,43.4702493146773,45.4671812510605,47.588491084042,49.8262709574333,52.1983881531258,54.711531441592,57.3772414704796,60.2035817975064,63.1927484054179,64.2019997053733,65.0976727438976,65.8819804712047,66.6222863812156,
Argentina,ARG,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,41.115259238642,41.4283581857884,41.6951680035531,41.9674212017337,42.2526590637109,42.5470582866038,42.8477092204495,43.1531131456877,43.4692666728133,43.7901658944851,44.1040468270446,44.2210560302095,44.2707967246628,44.2972843004329,44.2995951945154,44.3204973589362,44.3734384186507,44.4209580224139,44.4665409102096,44.5145495595403,44.57090742083,44.4887893187821,44.3493501761692,44.2170760207164,44.0958103085737,43.9841078277784,43.874677925556,43.7659909663664,43.6599123177483,43.5617979686851,43.4785652658829,43.3996703232606,43.2689069459461,43.1500791718635,43.037054807755,42.9370794059768,42.8625867852605,42.8136542773055,42.782674837259,42.75445324017,42.7350208549732,42.7290030576706,42.7940900558395,42.914432886593,43.043385679761,43.1634956511052,43.2843794962268,43.4180830723437,43.5592506874636,43.6898543119959,44.1555530434067,44.0532927918987,43.8753602611212,43.7055621842415,43.5459309342739,43.3967164863294,43.2579876361677,43.1279998000218,43.0081024392632,42.9040289361208,42.8201985231957,42.7588032477727,42.8912225012612,
