,NOC,Year,Event,Bronze,Gold,Silver,Total
221,AUS,1964,"Swimming Men's 1,500 metres Freestyle",1.0,1.0,0.0,2.0
222,AUS,1964,Swimming Men's 200 metres Breaststroke,0.0,1.0,0.0,1.0
223,AUS,1964,Swimming Men's 200 metres Butterfly,0.0,1.0,0.0,1.0
224,AUS,1964,Swimming Men's 4 x 100 metres Freestyle Relay,1.0,0.0,0.0,1.0
225,AUS,1964,Swimming Men's 4 x 100 metres Medley Relay,1.0,0.0,0.0,1.0
226,AUS,1964,Swimming Men's 400 metres Freestyle,1.0,0.0,0.0,1.0
227,AUS,1964,Swimming Women's 100 metres Freestyle,0.0,1.0,0.0,1.0
228,AUS,1964,Swimming Women's 4 x 100 metres Freestyle Relay,0.0,0.0,1.0,1.0
229,AUS,1968,Athletics Men's 200 metres,0.0,0.0,1.0,1.0
230,AUS,1968,Athletics Men's 800 metres,0.0,1.0,0.0,1.0
231,AUS,1968,Athletics Women's 200 metres,1.0,0.0,1.0,2.0
232,AUS,1968,Athletics Women's 80 metres Hurdles,0.0,1.0,1.0,2.0
233,AUS,1968,"Equestrianism Mixed Three-Day Event, Team",1.0,0.0,0.0,1.0
234,AUS,1968,Hockey Men's Hockey,0.0,0.0,1.0,1.0
235,AUS,1968,Rowing Men's Coxed Eights,0.0,0.0,1.0,1.0
236,AUS,1968,"Swimming Men's 1,500 metres Freestyle",1.0,0.0,0.0,1.0
237,AUS,1968,Swimming Men's 100 metres Freestyle,0.0,1.0,0.0,1.0
238,AUS,1968,Swimming Men's 200 metres Freestyle,0.0,1.0,0.0,1.0
239,AUS,1968,Swimming Men's 4 x 100 metres Freestyle Relay,1.0,0.0,0.0,1.0
240,AUS,1968,Swimming Men's 4 x 200 metres Freestyle Relay,0.0,0.0,1.0,1.0
241,AUS,1968,Swimming Women's 100 metres Butterfly,0.0,1.0,0.0,1.0
242,AUS,1968,Swimming Women's 4 x 100 metres Medley Relay,0.0,0.0,1.0,1.0
243,AUS,1968,Swimming Women's 400 metres Freestyle,1.0,0.0,0.0,1.0
244,AUS,1972,Athletics Women's 100 metres,0.0,0.0,1.0,1.0
245,AUS,1972,Athletics Women's 200 metres,0.0,0.0,1.0,1.0
246,AUS,1972,"Cycling Men's 1,000 metres Time Trial",0.0,0.0,1.0,1.0
247,AUS,1972,"Cycling Men's Road Race, Individual",0.0,0.0,1.0,1.0
248,AUS,1972,Cycling Men's Sprint,0.0,0.0,1.0,1.0
249,AUS,1972,Sailing Mixed Two Person Keelboat,0.0,1.0,0.0,1.0
250,AUS,1972,"Swimming Men's 1,500 metres Freestyle",0.0,0.0,1.0,1.0
251,AUS,1972,Swimming Men's 400 metres Freestyle,0.0,1.0,0.0,1.0
252,AUS,1972,Swimming Women's 100 metres Breaststroke,1.0,0.0,0.0,1.0
253,AUS,1972,Swimming Women's 100 metres Freestyle,1.0,0.0,0.0,1.0
254,AUS,1972,Swimming Women's 200 metres Breaststroke,0.0,1.0,0.0,1.0
255,AUS,1972,Swimming Women's 200 metres Freestyle,0.0,1.0,0.0,1.0
