,NOC,Year,Event,Bronze,Gold,Silver,Total
1527,CAN,2008,Rowing Men's Coxed Eights,0.0,1.0,0.0,1.0
1528,CAN,2008,Rowing Men's Coxless Pairs,0.0,0.0,1.0,1.0
1529,CAN,2008,Rowing Men's Lightweight Coxless Fours,1.0,0.0,0.0,1.0
1530,CAN,2008,Rowing Women's Lightweight Double Sculls,1.0,0.0,0.0,1.0
1531,CAN,2008,"Swimming Men's 1,500 metres Freestyle",1.0,0.0,0.0,1.0
1532,CAN,2008,Taekwondo Women's Welterweight,0.0,0.0,1.0,1.0
1533,CAN,2008,Trampolining Men's Individual,0.0,0.0,1.0,1.0
1534,CAN,2008,Trampolining Women's Individual,0.0,0.0,1.0,1.0
1535,CAN,2008,Triathlon Men's Olympic Distance,0.0,0.0,1.0,1.0
1536,CAN,2008,"Wrestling Women's Flyweight, Freestyle",0.0,1.0,0.0,1.0
1537,CAN,2012,"Canoeing Men's Canadian Singles, 1,000 metres",1.0,0.0,0.0,1.0
1538,CAN,2012,"Canoeing Men's Kayak Singles, 1,000 metres",0.0,0.0,1.0,1.0
1539,CAN,2012,"Canoeing Men's Kayak Singles, 200 metres",1.0,0.0,0.0,1.0
1540,CAN,2012,Cycling Women's Team Pursuit,1.0,0.0,0.0,1.0
1541,CAN,2012,Diving Women's Synchronized Platform,1.0,0.0,0.0,1.0
1542,CAN,2012,Diving Women's Synchronized Springboard,1.0,0.0,0.0,1.0
1543,CAN,2012,Football Women's Football,1.0,0.0,0.0,1.0
1544,CAN,2012,Rowing Men's Coxed Eights,0.0,0.0,1.0,1.0
1545,CAN,2012,Rowing Women's Coxed Eights,0.0,0.0,1.0,1.0
1546,CAN,2012,"Swimming Men's 1,500 metres Freestyle",0.0,0.0,1.0,1.0
1547,CAN,2012,Swimming Men's 10 kilometres Open Water,1.0,0.0,0.0,1.0
1548,CAN,2012,Swimming Men's 100 metres Freestyle,1.0,0.0,0.0,1.0
1549,CAN,2012,Trampolining Women's Individual,0.0,1.0,0.0,1.0
1550,CAN,2012,Weightlifting Women's Middleweight,1.0,0.0,0.0,1.0
1551,CAN,2012,"Wrestling Women's Lightweight, Freestyle",0.0,0.0,1.0,1.0
1552,CAN,2016,Athletics Men's 100 metres,1.0,0.0,0.0,1.0
1553,CAN,2016,Athletics Men's 200 metres,0.0,0.0,1.0,1.0
1554,CAN,2016,Athletics Men's 4 x 100 metres Relay,1.0,0.0,0.0,1.0
1555,CAN,2016,Athletics Men's Decathlon,1.0,0.0,0.0,1.0
1556,CAN,2016,Athletics Men's High Jump,0.0,1.0,0.0,1.0
1557,CAN,2016,Athletics Women's Heptathlon,1.0,0.0,0.0,1.0
1558,CAN,2016,"Cycling Women's Mountainbike, Cross-Country",1.0,0.0,0.0,1.0
1559,CAN,2016,Cycling Women's Team Pursuit,1.0,0.0,0.0,1.0
1560,CAN,2016,Diving Women's Platform,1.0,0.0,0.0,1.0
1561,CAN,2016,Diving Women's Synchronized Platform,1.0,0.0,0.0,1.0
1562,CAN,2016,"Equestrianism Mixed Jumping, Individual",1.0,0.0,0.0,1.0
1563,CAN,2016,Football Women's Football,1.0,0.0,0.0,1.0
1564,CAN,2016,Rowing Women's Lightweight Double Sculls,0.0,0.0,1.0,1.0
1565,CAN,2016,Rugby Sevens Women's Rugby Sevens,1.0,0.0,0.0,1.0
1566,CAN,2016,Swimming Women's 100 metres Butterfly,0.0,0.0,1.0,1.0
1567,CAN,2016,Swimming Women's 200 metres Backstroke,1.0,0.0,0.0,1.0
1568,CAN,2016,Swimming Women's 4 x 100 metres Freestyle Relay,1.0,0.0,0.0,1.0
1569,CAN,2016,Swimming Women's 4 x 200 metres Freestyle Relay,1.0,0.0,0.0,1.0
1570,CAN,2016,Trampolining Women's Individual,0.0,1.0,0.0,1.0
1571,CAN,2016,"Wrestling Women's Heavyweight, Freestyle",0.0,1.0,0.0,1.0
1572,CHI,1928,Athletics Men's Marathon,0.0,0.0,1.0,1.0
1573,CHI,1952,"Equestrianism Men's Jumping, Individual",0.0,0.0,1.0,1.0
1574,CHI,1952,"Equestrianism Men's Jumping, Team",0.0,0.0,1.0,1.0
1575,CHI,1956,Athletics Women's Javelin Throw,0.0,0.0,1.0,1.0
1576,CHI,1956,Boxing Men's Bantamweight,1.0,0.0,0.0,1.0
1577,CHI,1956,Boxing Men's Light-Heavyweight,1.0,0.0,0.0,1.0
1578,CHI,1956,Boxing Men's Middleweight,0.0,0.0,1.0,1.0
1579,CHI,1988,Shooting Mixed Skeet,0.0,0.0,1.0,1.0
1580,CHI,2000,Football Men's Football,1.0,0.0,0.0,1.0
1581,CHI,2004,Tennis Men's Doubles,0.0,1.0,0.0,1.0
1582,CHI,2004,Tennis Men's Singles,1.0,1.0,0.0,2.0
1583,CHI,2008,Tennis Men's Singles,0.0,0.0,1.0,1.0
1584,CHN,1984,Archery Women's Individual,0.0,0.0,1.0,1.0
1585,CHN,1984,Athletics Men's High Jump,1.0,0.0,0.0,1.0
1586,CHN,1984,Basketball Women's Basketball,1.0,0.0,0.0,1.0
1587,CHN,1984,Diving Men's Platform,1.0,0.0,0.0,1.0
1588,CHN,1984,Diving Men's Springboard,0.0,0.0,1.0,1.0
1589,CHN,1984,Diving Women's Platform,0.0,1.0,0.0,1.0
1590,CHN,1984,"Fencing Women's Foil, Individual",0.0,1.0,0.0,1.0
1591,CHN,1984,Gymnastics Men's Floor Exercise,0.0,1.0,1.0,2.0
1592,CHN,1984,Gymnastics Men's Horizontal Bar,0.0,0.0,1.0,1.0
1593,CHN,1984,Gymnastics Men's Horse Vault,0.0,1.0,0.0,1.0
1594,CHN,1984,Gymnastics Men's Individual All-Around,1.0,0.0,0.0,1.0
1595,CHN,1984,Gymnastics Men's Pommelled Horse,0.0,1.0,0.0,1.0
1596,CHN,1984,Gymnastics Men's Team All-Around,0.0,0.0,1.0,1.0
1597,CHN,1984,Gymnastics Women's Team All-Around,1.0,0.0,0.0,1.0
1598,CHN,1984,Gymnastics Women's Uneven Bars,0.0,1.0,0.0,1.0
1599,CHN,1984,Handball Women's Handball,1.0,0.0,0.0,1.0
1600,CHN,1984,"Shooting Men's Free Pistol, 50 metres",1.0,1.0,0.0,2.0
1601,CHN,1984,"Shooting Men's Running Target, 50 metres",1.0,1.0,0.0,2.0
1602,CHN,1984,"Shooting Women's Air Rifle, 10 metres",1.0,0.0,0.0,1.0
1603,CHN,1984,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",0.0,1.0,0.0,1.0
1604,CHN,1984,Volleyball Women's Volleyball,0.0,1.0,0.0,1.0
1605,CHN,1984,Weightlifting Men's Bantamweight,0.0,1.0,1.0,2.0
1606,CHN,1984,Weightlifting Men's Featherweight,0.0,1.0,0.0,1.0
1607,CHN,1984,Weightlifting Men's Flyweight,0.0,1.0,1.0,2.0
1608,CHN,1984,Weightlifting Men's Lightweight,0.0,1.0,0.0,1.0
1609,CHN,1988,Athletics Women's Shot Put,1.0,0.0,0.0,1.0
1610,CHN,1988,Diving Men's Platform,0.0,0.0,1.0,1.0
1611,CHN,1988,Diving Men's Springboard,1.0,0.0,1.0,2.0
1612,CHN,1988,Diving Women's Platform,0.0,1.0,0.0,1.0
1613,CHN,1988,Diving Women's Springboard,0.0,1.0,1.0,2.0
1614,CHN,1988,Gymnastics Men's Horse Vault,0.0,1.0,0.0,1.0
1615,CHN,1988,Rowing Women's Coxed Eights,1.0,0.0,0.0,1.0
1616,CHN,1988,Rowing Women's Coxed Fours,0.0,0.0,1.0,1.0
1617,CHN,1988,"Shooting Men's Air Pistol, 10 metres",1.0,0.0,0.0,1.0
1618,CHN,1988,"Shooting Men's Running Target, 50 metres",0.0,0.0,1.0,1.0
1619,CHN,1988,Swimming Women's 100 metres Butterfly,1.0,0.0,0.0,1.0
1620,CHN,1988,Swimming Women's 100 metres Freestyle,0.0,0.0,1.0,1.0
1621,CHN,1988,Swimming Women's 200 metres Breaststroke,0.0,0.0,1.0,1.0
1622,CHN,1988,Swimming Women's 50 metres Freestyle,0.0,0.0,1.0,1.0
1623,CHN,1988,Table Tennis Men's Doubles,0.0,1.0,0.0,1.0
1624,CHN,1988,Table Tennis Women's Doubles,0.0,0.0,1.0,1.0
1625,CHN,1988,Table Tennis Women's Singles,1.0,1.0,1.0,3.0
1626,CHN,1988,Volleyball Women's Volleyball,1.0,0.0,0.0,1.0
1627,CHN,1988,Weightlifting Men's Bantamweight,1.0,0.0,1.0,2.0
1628,CHN,1988,Weightlifting Men's Featherweight,1.0,0.0,0.0,1.0
1629,CHN,1988,Weightlifting Men's Flyweight,1.0,0.0,0.0,1.0
1630,CHN,1988,Weightlifting Men's Lightweight,1.0,0.0,0.0,1.0
1631,CHN,1992,Archery Women's Team,0.0,0.0,1.0,1.0
1632,CHN,1992,"Athletics Women's 1,500 metres",1.0,0.0,0.0,1.0
1633,CHN,1992,Athletics Women's 10 kilometres Walk,1.0,1.0,0.0,2.0
1634,CHN,1992,Athletics Women's Shot Put,0.0,0.0,1.0,1.0
1635,CHN,1992,Badminton Men's Doubles,1.0,0.0,0.0,1.0
1636,CHN,1992,Badminton Women's Doubles,0.0,0.0,1.0,1.0
1637,CHN,1992,Badminton Women's Singles,1.0,0.0,0.0,1.0
1638,CHN,1992,Basketball Women's Basketball,0.0,0.0,1.0,1.0
1639,CHN,1992,Diving Men's Platform,1.0,1.0,0.0,2.0
1640,CHN,1992,Diving Men's Springboard,0.0,0.0,1.0,1.0
1641,CHN,1992,Diving Women's Platform,0.0,1.0,0.0,1.0
1642,CHN,1992,Diving Women's Springboard,0.0,1.0,0.0,1.0
1643,CHN,1992,"Fencing Women's Foil, Individual",0.0,0.0,1.0,1.0
1644,CHN,1992,Gymnastics Men's Floor Exercise,0.0,1.0,0.0,1.0
1645,CHN,1992,Gymnastics Men's Parallel Bars,1.0,0.0,1.0,2.0
1646,CHN,1992,Gymnastics Men's Rings,1.0,0.0,1.0,2.0
1647,CHN,1992,Gymnastics Men's Team All-Around,0.0,0.0,1.0,1.0
1648,CHN,1992,Gymnastics Women's Balance Beam,0.0,0.0,1.0,1.0
1649,CHN,1992,Gymnastics Women's Uneven Bars,0.0,1.0,0.0,1.0
1650,CHN,1992,Judo Women's Half-Lightweight,1.0,0.0,0.0,1.0
1651,CHN,1992,Judo Women's Heavyweight,0.0,1.0,0.0,1.0
1652,CHN,1992,Rowing Women's Double Sculls,1.0,0.0,0.0,1.0
1653,CHN,1992,Sailing Women's Windsurfer,0.0,0.0,1.0,1.0
1654,CHN,1992,"Shooting Men's Air Pistol, 10 metres",0.0,1.0,0.0,1.0
1655,CHN,1992,"Shooting Men's Free Pistol, 50 metres",0.0,0.0,1.0,1.0
1656,CHN,1992,Shooting Mixed Skeet,0.0,1.0,0.0,1.0
1657,CHN,1992,"Shooting Women's Sporting Pistol, 25 metres",0.0,0.0,1.0,1.0
1658,CHN,1992,Swimming Women's 100 metres Butterfly,0.0,1.0,0.0,1.0
1659,CHN,1992,Swimming Women's 100 metres Freestyle,0.0,1.0,0.0,1.0
1660,CHN,1992,Swimming Women's 200 metres Breaststroke,0.0,0.0,1.0,1.0
1661,CHN,1992,Swimming Women's 200 metres Butterfly,0.0,0.0,1.0,1.0
1662,CHN,1992,Swimming Women's 200 metres Individual Medley,0.0,1.0,0.0,1.0
1663,CHN,1992,Swimming Women's 4 x 100 metres Freestyle Relay,0.0,0.0,1.0,1.0
1664,CHN,1992,Swimming Women's 400 metres Individual Medley,0.0,0.0,1.0,1.0
1665,CHN,1992,Swimming Women's 50 metres Freestyle,0.0,1.0,1.0,2.0
1666,CHN,1992,Table Tennis Men's Doubles,0.0,1.0,0.0,1.0
1667,CHN,1992,Table Tennis Women's Doubles,0.0,1.0,1.0,2.0
1668,CHN,1992,Table Tennis Women's Singles,0.0,1.0,1.0,2.0
1669,CHN,1992,Weightlifting Men's Bantamweight,1.0,0.0,1.0,2.0
1670,CHN,1992,Weightlifting Men's Featherweight,1.0,0.0,0.0,1.0
1671,CHN,1992,Weightlifting Men's Flyweight,0.0,0.0,1.0,1.0
1672,CHN,1992,"Wrestling Men's Bantamweight, Greco-Roman",1.0,0.0,0.0,1.0
1673,CHN,1996,Archery Women's Individual,0.0,0.0,1.0,1.0
1674,CHN,1996,Athletics Women's 10 kilometres Walk,1.0,0.0,0.0,1.0
1675,CHN,1996,"Athletics Women's 10,000 metres",0.0,0.0,1.0,1.0
1676,CHN,1996,"Athletics Women's 5,000 metres",0.0,1.0,0.0,1.0
1677,CHN,1996,Athletics Women's Shot Put,0.0,0.0,1.0,1.0
1678,CHN,1996,Badminton Men's Singles,0.0,0.0,1.0,1.0
1679,CHN,1996,Badminton Mixed Doubles,1.0,0.0,0.0,1.0
1680,CHN,1996,Badminton Women's Doubles,1.0,1.0,0.0,2.0
1681,CHN,1996,Diving Men's Platform,1.0,0.0,0.0,1.0
1682,CHN,1996,Diving Men's Springboard,0.0,1.0,1.0,2.0
1683,CHN,1996,Diving Women's Platform,0.0,1.0,0.0,1.0
1684,CHN,1996,Diving Women's Springboard,0.0,1.0,0.0,1.0
1685,CHN,1996,Football Women's Football,0.0,0.0,1.0,1.0
1686,CHN,1996,Gymnastics Men's Floor Exercise,0.0,0.0,1.0,1.0
1687,CHN,1996,Gymnastics Men's Horizontal Bar,1.0,0.0,0.0,1.0
1688,CHN,1996,Gymnastics Men's Individual All-Around,0.0,1.0,0.0,1.0
1689,CHN,1996,Gymnastics Men's Team All-Around,0.0,0.0,1.0,1.0
1690,CHN,1996,Gymnastics Women's Horse Vault,0.0,0.0,1.0,1.0
1691,CHN,1996,Gymnastics Women's Uneven Bars,0.0,0.0,1.0,1.0
1692,CHN,1996,Judo Women's Heavyweight,0.0,1.0,0.0,1.0
1693,CHN,1996,Judo Women's Middleweight,1.0,0.0,0.0,1.0
1694,CHN,1996,Rowing Women's Double Sculls,0.0,0.0,1.0,1.0
1695,CHN,1996,"Shooting Men's Air Pistol, 10 metres",0.0,0.0,1.0,1.0
1696,CHN,1996,Shooting Men's Double Trap,1.0,0.0,0.0,1.0
1697,CHN,1996,"Shooting Men's Running Target, 10 metres",0.0,1.0,1.0,2.0
1698,CHN,1996,"Shooting Women's Sporting Pistol, 25 metres",0.0,1.0,0.0,1.0
1699,CHN,1996,Softball Women's Softball,0.0,0.0,1.0,1.0
1700,CHN,1996,Swimming Women's 100 metres Butterfly,0.0,0.0,1.0,1.0
1701,CHN,1996,Swimming Women's 100 metres Freestyle,0.0,1.0,0.0,1.0
1702,CHN,1996,Swimming Women's 200 metres Individual Medley,1.0,0.0,0.0,1.0
1703,CHN,1996,Swimming Women's 4 x 100 metres Freestyle Relay,0.0,0.0,1.0,1.0
1704,CHN,1996,Swimming Women's 4 x 100 metres Medley Relay,1.0,0.0,0.0,1.0
1705,CHN,1996,Swimming Women's 50 metres Freestyle,0.0,0.0,1.0,1.0
1706,CHN,1996,Table Tennis Men's Doubles,0.0,1.0,1.0,2.0
1707,CHN,1996,Table Tennis Men's Singles,0.0,1.0,1.0,2.0
1708,CHN,1996,Table Tennis Women's Doubles,0.0,1.0,1.0,2.0
1709,CHN,1996,Table Tennis Women's Singles,1.0,1.0,0.0,2.0
1710,CHN,1996,Volleyball Women's Volleyball,0.0,0.0,1.0,1.0
1711,CHN,1996,Weightlifting Men's Bantamweight,0.0,1.0,0.0,1.0
1712,CHN,1996,Weightlifting Men's Featherweight,1.0,0.0,0.0,1.0
1713,CHN,1996,Weightlifting Men's Flyweight,0.0,0.0,1.0,1.0
1714,CHN,1996,Weightlifting Men's Lightweight,0.0,1.0,0.0,1.0
1715,CHN,1996,"Wrestling Men's Bantamweight, Greco-Roman",1.0,0.0,0.0,1.0
1716,CHN,2000,Athletics Women's 20 kilometres Walk,0.0,1.0,0.0,1.0
1717,CHN,2000,Badminton Men's Singles,1.0,1.0,0.0,2.0
1718,CHN,2000,Badminton Mixed Doubles,0.0,1.0,0.0,1.0
1719,CHN,2000,Badminton Women's Doubles,1.0,1.0,1.0,3.0
1720,CHN,2000,Badminton Women's Singles,1.0,1.0,0.0,2.0
1721,CHN,2000,Cycling Women's 500 metres Time Trial,1.0,0.0,0.0,1.0
1722,CHN,2000,Diving Men's Platform,0.0,1.0,1.0,2.0
1723,CHN,2000,Diving Men's Springboard,0.0,1.0,0.0,1.0
1724,CHN,2000,Diving Men's Synchronized Platform,0.0,0.0,1.0,1.0
1725,CHN,2000,Diving Men's Synchronized Springboard,0.0,1.0,0.0,1.0
1726,CHN,2000,Diving Women's Platform,0.0,0.0,1.0,1.0
1727,CHN,2000,Diving Women's Springboard,0.0,1.0,1.0,2.0
1728,CHN,2000,Diving Women's Synchronized Platform,0.0,1.0,0.0,1.0
1729,CHN,2000,Diving Women's Synchronized Springboard,0.0,0.0,1.0,1.0
1730,CHN,2000,"Fencing Men's Foil, Team",0.0,0.0,1.0,1.0
1731,CHN,2000,"Fencing Women's epee, Team",1.0,0.0,0.0,1.0
1732,CHN,2000,Gymnastics Men's Individual All-Around,0.0,0.0,1.0,1.0
1733,CHN,2000,Gymnastics Men's Parallel Bars,0.0,1.0,0.0,1.0
1734,CHN,2000,Gymnastics Men's Team All-Around,0.0,1.0,0.0,1.0
1735,CHN,2000,Gymnastics Women's Balance Beam,0.0,1.0,0.0,1.0
1736,CHN,2000,Gymnastics Women's Individual All-Around,1.0,0.0,0.0,1.0
1737,CHN,2000,Gymnastics Women's Uneven Bars,1.0,0.0,1.0,2.0
1738,CHN,2000,Judo Women's Half-Heavyweight,0.0,1.0,0.0,1.0
1739,CHN,2000,Judo Women's Half-Middleweight,0.0,0.0,1.0,1.0
1740,CHN,2000,Judo Women's Heavyweight,0.0,1.0,0.0,1.0
1741,CHN,2000,"Shooting Men's Air Pistol, 10 metres",0.0,0.0,1.0,1.0
1742,CHN,2000,"Shooting Men's Air Rifle, 10 metres",0.0,1.0,0.0,1.0
1743,CHN,2000,"Shooting Men's Running Target, 10 metres",1.0,1.0,0.0,2.0
1744,CHN,2000,"Shooting Women's Air Pistol, 10 metres",0.0,1.0,0.0,1.0
1745,CHN,2000,"Shooting Women's Air Rifle, 10 metres",1.0,0.0,0.0,1.0
1746,CHN,2000,"Shooting Women's Sporting Pistol, 25 metres",0.0,0.0,1.0,1.0
1747,CHN,2000,Shooting Women's Trap,1.0,0.0,0.0,1.0
1748,CHN,2000,Table Tennis Men's Doubles,0.0,1.0,1.0,2.0
1749,CHN,2000,Table Tennis Men's Singles,1.0,1.0,0.0,2.0
1750,CHN,2000,Table Tennis Women's Doubles,0.0,1.0,1.0,2.0
1751,CHN,2000,Table Tennis Women's Singles,0.0,1.0,1.0,2.0
1752,CHN,2000,Taekwondo Women's Heavyweight,0.0,1.0,0.0,1.0
1753,CHN,2000,Weightlifting Men's Bantamweight,1.0,0.0,1.0,2.0
1754,CHN,2000,Weightlifting Men's Middleweight,0.0,1.0,0.0,1.0
1755,CHN,2000,Weightlifting Women's Featherweight,0.0,1.0,0.0,1.0
1756,CHN,2000,Weightlifting Women's Light-Heavyweight,0.0,1.0,0.0,1.0
1757,CHN,2000,Weightlifting Women's Middleweight,0.0,1.0,0.0,1.0
1758,CHN,2000,Weightlifting Women's Super-Heavyweight,0.0,1.0,0.0,1.0
1759,CHN,2000,"Wrestling Men's Featherweight, Greco-Roman",1.0,0.0,0.0,1.0
1760,CHN,2004,Archery Women's Team,0.0,0.0,1.0,1.0
1761,CHN,2004,Athletics Men's 110 metres Hurdles,0.0,1.0,0.0,1.0
1762,CHN,2004,"Athletics Women's 10,000 metres",0.0,1.0,0.0,1.0
1763,CHN,2004,Badminton Mixed Doubles,0.0,1.0,0.0,1.0
1764,CHN,2004,Badminton Women's Doubles,0.0,1.0,1.0,2.0
1765,CHN,2004,Badminton Women's Singles,1.0,1.0,0.0,2.0
1766,CHN,2004,"Canoeing Men's Canadian Doubles, 500 metres",0.0,1.0,0.0,1.0
1767,CHN,2004,Cycling Women's 500 metres Time Trial,0.0,0.0,1.0,1.0
1768,CHN,2004,Diving Men's Platform,1.0,1.0,0.0,2.0
1769,CHN,2004,Diving Men's Springboard,0.0,1.0,0.0,1.0
1770,CHN,2004,Diving Men's Synchronized Platform,0.0,1.0,0.0,1.0
1771,CHN,2004,Diving Women's Platform,0.0,0.0,1.0,1.0
1772,CHN,2004,Diving Women's Springboard,0.0,1.0,1.0,2.0
1773,CHN,2004,Diving Women's Synchronized Platform,0.0,1.0,0.0,1.0
1774,CHN,2004,Diving Women's Synchronized Springboard,0.0,1.0,0.0,1.0
1775,CHN,2004,"Fencing Men's Foil, Team",0.0,0.0,1.0,1.0
1776,CHN,2004,"Fencing Men's epee, Individual",0.0,0.0,1.0,1.0
1777,CHN,2004,"Fencing Women's Sabre, Individual",0.0,0.0,1.0,1.0
1778,CHN,2004,Gymnastics Men's Parallel Bars,1.0,0.0,0.0,1.0
1779,CHN,2004,Gymnastics Men's Pommelled Horse,0.0,1.0,0.0,1.0
1780,CHN,2004,Gymnastics Women's Individual All-Around,1.0,0.0,0.0,1.0
1781,CHN,2004,Judo Women's Extra-Lightweight,1.0,0.0,0.0,1.0
1782,CHN,2004,Judo Women's Half-Heavyweight,0.0,0.0,1.0,1.0
1783,CHN,2004,Judo Women's Half-Lightweight,0.0,1.0,0.0,1.0
1784,CHN,2004,Sailing Women's Windsurfer,0.0,0.0,1.0,1.0
1785,CHN,2004,"Shooting Men's Air Pistol, 10 metres",0.0,1.0,0.0,1.0
1786,CHN,2004,"Shooting Men's Air Rifle, 10 metres",0.0,1.0,1.0,2.0
1787,CHN,2004,Shooting Men's Double Trap,1.0,0.0,0.0,1.0
1788,CHN,2004,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",0.0,1.0,0.0,1.0
1789,CHN,2004,"Shooting Women's Air Rifle, 10 metres",0.0,1.0,0.0,1.0
1790,CHN,2004,Shooting Women's Double Trap,1.0,0.0,0.0,1.0
1791,CHN,2004,Shooting Women's Skeet,0.0,0.0,1.0,1.0
1792,CHN,2004,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",1.0,0.0,0.0,1.0
1793,CHN,2004,Swimming Women's 100 metres Breaststroke,0.0,1.0,0.0,1.0
1794,CHN,2004,Swimming Women's 4 x 200 metres Freestyle Relay,0.0,0.0,1.0,1.0
1795,CHN,2004,Table Tennis Men's Doubles,0.0,1.0,0.0,1.0
1796,CHN,2004,Table Tennis Men's Singles,1.0,0.0,1.0,2.0
1797,CHN,2004,Table Tennis Women's Doubles,1.0,1.0,0.0,2.0
1798,CHN,2004,Table Tennis Women's Singles,0.0,1.0,0.0,1.0
1799,CHN,2004,Taekwondo Women's Heavyweight,0.0,1.0,0.0,1.0
1800,CHN,2004,Taekwondo Women's Welterweight,0.0,1.0,0.0,1.0
1801,CHN,2004,Tennis Women's Doubles,0.0,1.0,0.0,1.0
1802,CHN,2004,Trampolining Women's Individual,1.0,0.0,0.0,1.0
1803,CHN,2004,Volleyball Women's Volleyball,0.0,1.0,0.0,1.0
1804,CHN,2004,Weightlifting Men's Bantamweight,0.0,0.0,1.0,1.0
1805,CHN,2004,Weightlifting Men's Featherweight,0.0,1.0,1.0,2.0
1806,CHN,2004,Weightlifting Men's Lightweight,0.0,1.0,0.0,1.0
1807,CHN,2004,Weightlifting Women's Flyweight,0.0,0.0,1.0,1.0
1808,CHN,2004,Weightlifting Women's Light-Heavyweight,0.0,1.0,0.0,1.0
1809,CHN,2004,Weightlifting Women's Lightweight,0.0,1.0,0.0,1.0
1810,CHN,2004,Weightlifting Women's Super-Heavyweight,0.0,1.0,0.0,1.0
1811,CHN,2004,"Wrestling Women's Heavyweight, Freestyle",0.0,1.0,0.0,1.0
1812,CHN,2008,Archery Men's Team,1.0,0.0,0.0,1.0
1813,CHN,2008,Archery Women's Individual,0.0,1.0,0.0,1.0
1814,CHN,2008,Archery Women's Team,0.0,0.0,1.0,1.0
1815,CHN,2008,Athletics Women's Hammer Throw,1.0,0.0,0.0,1.0
1816,CHN,2008,Athletics Women's Marathon,1.0,0.0,0.0,1.0
1817,CHN,2008,Badminton Men's Doubles,0.0,0.0,1.0,1.0
1818,CHN,2008,Badminton Men's Singles,1.0,1.0,0.0,2.0
1819,CHN,2008,Badminton Mixed Doubles,1.0,0.0,0.0,1.0
1820,CHN,2008,Badminton Women's Doubles,1.0,1.0,0.0,2.0
1821,CHN,2008,Badminton Women's Singles,0.0,1.0,1.0,2.0
1822,CHN,2008,Beach Volleyball Women's Beach Volleyball,1.0,0.0,1.0,2.0
1823,CHN,2008,Boxing Men's Light-Flyweight,0.0,1.0,0.0,1.0
1824,CHN,2008,Boxing Men's Light-Heavyweight,0.0,1.0,0.0,1.0
1825,CHN,2008,Boxing Men's Super-Heavyweight,0.0,0.0,1.0,1.0
1826,CHN,2008,Boxing Men's Welterweight,1.0,0.0,0.0,1.0
1827,CHN,2008,"Canoeing Men's Canadian Doubles, 500 metres",0.0,1.0,0.0,1.0
1828,CHN,2008,Cycling Women's Sprint,1.0,0.0,0.0,1.0
1829,CHN,2008,Diving Men's Platform,0.0,0.0,1.0,1.0
1830,CHN,2008,Diving Men's Springboard,1.0,1.0,0.0,2.0
1831,CHN,2008,Diving Men's Synchronized Platform,0.0,1.0,0.0,1.0
1832,CHN,2008,Diving Men's Synchronized Springboard,0.0,1.0,0.0,1.0
1833,CHN,2008,Diving Women's Platform,1.0,1.0,0.0,2.0
1834,CHN,2008,Diving Women's Springboard,1.0,1.0,0.0,2.0
1835,CHN,2008,Diving Women's Synchronized Platform,0.0,1.0,0.0,1.0
1836,CHN,2008,Diving Women's Synchronized Springboard,0.0,1.0,0.0,1.0
1837,CHN,2008,"Fencing Men's Sabre, Individual",0.0,1.0,0.0,1.0
1838,CHN,2008,"Fencing Women's Sabre, Team",0.0,0.0,1.0,1.0
1839,CHN,2008,Gymnastics Men's Floor Exercise,0.0,1.0,0.0,1.0
1840,CHN,2008,Gymnastics Men's Horizontal Bar,0.0,1.0,0.0,1.0
1841,CHN,2008,Gymnastics Men's Individual All-Around,0.0,1.0,0.0,1.0
1842,CHN,2008,Gymnastics Men's Parallel Bars,0.0,1.0,0.0,1.0
1843,CHN,2008,Gymnastics Men's Pommelled Horse,0.0,1.0,0.0,1.0
1844,CHN,2008,Gymnastics Men's Rings,0.0,1.0,1.0,2.0
1845,CHN,2008,Gymnastics Men's Team All-Around,0.0,1.0,0.0,1.0
1846,CHN,2008,Gymnastics Women's Balance Beam,1.0,0.0,0.0,1.0
1847,CHN,2008,Gymnastics Women's Horse Vault,1.0,0.0,0.0,1.0
1848,CHN,2008,Gymnastics Women's Individual All-Around,1.0,0.0,0.0,1.0
1849,CHN,2008,Gymnastics Women's Team All-Around,0.0,1.0,0.0,1.0
1850,CHN,2008,Gymnastics Women's Uneven Bars,1.0,1.0,0.0,2.0
1851,CHN,2008,Hockey Women's Hockey,0.0,0.0,1.0,1.0
1852,CHN,2008,Judo Women's Half-Heavyweight,0.0,1.0,0.0,1.0
1853,CHN,2008,Judo Women's Half-Lightweight,0.0,1.0,0.0,1.0
1854,CHN,2008,Judo Women's Heavyweight,0.0,1.0,0.0,1.0
1855,CHN,2008,Rhythmic Gymnastics Women's Group,0.0,0.0,1.0,1.0
1856,CHN,2008,Rowing Women's Coxless Pairs,0.0,0.0,1.0,1.0
1857,CHN,2008,Rowing Women's Quadruple Sculls,0.0,1.0,0.0,1.0
1858,CHN,2008,Sailing Women's One Person Dinghy,1.0,0.0,0.0,1.0
1859,CHN,2008,Sailing Women's Windsurfer,0.0,1.0,0.0,1.0
1860,CHN,2008,"Shooting Men's Air Pistol, 10 metres",0.0,1.0,0.0,1.0
1861,CHN,2008,"Shooting Men's Air Rifle, 10 metres",0.0,0.0,1.0,1.0
