,ID,Team,NOC,Year,Event,Medal
0,1,China,CHN,1992,Basketball Men's Basketball,
1,2,China,CHN,2012,Judo Men's Extra-Lightweight,
2,3,Denmark,DEN,1920,Football Men's Football,
3,4,Denmark/Sweden,DEN,1900,Tug-Of-War Men's Tug-Of-War,Gold
26,8,Netherlands,NED,1932,Athletics Women's 100 metres,
27,8,Netherlands,NED,1932,Athletics Women's 4 x 100 metres Relay,
29,10,Finland,FIN,1952,Swimming Men's 400 metres Freestyle,
31,12,Finland,FIN,2000,Badminton Men's Singles,
32,13,Finland,FIN,1996,Sailing Women's Windsurfer,
33,13,Finland,FIN,2000,Sailing Women's Windsurfer,
35,15,Finland,FIN,1912,Swimming Men's 200 metres Breaststroke,
36,15,Finland,FIN,1912,Swimming Men's 400 metres Breaststroke,
37,15,Finland,FIN,1920,Swimming Men's 200 metres Breaststroke,Bronze
38,15,Finland,FIN,1920,Swimming Men's 400 metres Breaststroke,Bronze
39,15,Finland,FIN,1924,Swimming Men's 200 metres Breaststroke,
41,17,Finland,FIN,1948,Gymnastics Men's Individual All-Around,Bronze
42,17,Finland,FIN,1948,Gymnastics Men's Team All-Around,Gold
43,17,Finland,FIN,1948,Gymnastics Men's Floor Exercise,
44,17,Finland,FIN,1948,Gymnastics Men's Horse Vault,Gold
45,17,Finland,FIN,1948,Gymnastics Men's Parallel Bars,
46,17,Finland,FIN,1948,Gymnastics Men's Horizontal Bar,
47,17,Finland,FIN,1948,Gymnastics Men's Rings,
48,17,Finland,FIN,1948,Gymnastics Men's Pommelled Horse,Gold
49,17,Finland,FIN,1952,Gymnastics Men's Individual All-Around,
50,17,Finland,FIN,1952,Gymnastics Men's Team All-Around,Bronze
51,17,Finland,FIN,1952,Gymnastics Men's Floor Exercise,
52,17,Finland,FIN,1952,Gymnastics Men's Horse Vault,
53,17,Finland,FIN,1952,Gymnastics Men's Parallel Bars,
54,17,Finland,FIN,1952,Gymnastics Men's Horizontal Bar,
55,17,Finland,FIN,1952,Gymnastics Men's Rings,
56,17,Finland,FIN,1952,Gymnastics Men's Pommelled Horse,
57,18,Finland,FIN,2000,Athletics Men's Shot Put,
58,19,Finland,FIN,1948,"Art Competitions Mixed Sculpturing, Unknown Event",
79,21,Norway,NOR,2008,Handball Women's Handball,Gold
80,22,Romania,ROU,2016,Weightlifting Women's Super-Heavyweight,
81,23,Norway,NOR,2000,"Wrestling Men's Light-Heavyweight, Greco-Roman",
82,23,Norway,NOR,2004,"Wrestling Men's Light-Heavyweight, Greco-Roman",
86,25,Norway,NOR,1920,"Gymnastics Men's Team All-Around, Free System",Silver
88,27,Netherlands,NED,1984,Water Polo Men's Water Polo,
89,28,Norway,NOR,1968,Sailing Mixed Three Person Keelboat,
90,28,Norway,NOR,1972,Sailing Mixed Three Person Keelboat,
91,29,Netherlands,NED,1988,Hockey Women's Hockey,Bronze
92,30,Netherlands,NED,1996,Rowing Men's Lightweight Double Sculls,Silver
93,30,Netherlands,NED,2000,Rowing Men's Lightweight Double Sculls,
94,31,Estonia,EST,1936,Athletics Men's Pole Vault,
95,32,Norway,NOR,1912,Athletics Men's High Jump,
96,33,Finland,FIN,1992,Sailing Men's Two Person Dinghy,
97,33,Finland,FIN,1996,Sailing Men's Two Person Dinghy,
98,34,France,FRA,2012,"Athletics Men's 1,500 metres",
100,36,Netherlands,NED,1996,Swimming Men's 100 metres Butterfly,
101,36,Netherlands,NED,1996,Swimming Men's 200 metres Butterfly,
102,36,Netherlands,NED,1996,Swimming Men's 4 x 100 metres Medley Relay,
103,36,Netherlands,NED,2000,Swimming Men's 100 metres Butterfly,
104,36,Netherlands,NED,2000,Swimming Men's 200 metres Butterfly,
105,37,Norway,NOR,1996,Football Women's Football,Bronze
107,39,Norway,NOR,1912,"Fencing Men's Foil, Individual",
108,39,Norway,NOR,1912,"Fencing Men's epee, Individual",
109,39,Norway,NOR,1912,"Fencing Men's epee, Team",
117,42,Taifun,NOR,1912,Sailing Mixed 8 metres,Gold
118,43,Norway,NOR,1992,"Equestrianism Mixed Jumping, Individual",
124,45,Norway,NOR,1936,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",
125,46,Norway,NOR,1936,"Shooting Men's Rapid-Fire Pistol, 25 metres",
126,46,Norway,NOR,1948,"Shooting Men's Rapid-Fire Pistol, 25 metres",
127,46,Norway,NOR,1952,Shooting Men's Trap,
128,46,Norway,NOR,1956,Shooting Men's Trap,
129,46,Norway,NOR,1960,Shooting Men's Trap,
130,47,Norway,NOR,1920,Athletics Men's 4 x 100 metres Relay,
131,47,Norway,NOR,1920,Athletics Men's Long Jump,
132,47,Norway,NOR,1924,Athletics Men's Long Jump,
133,47,Norway,NOR,1928,Athletics Men's Long Jump,
134,48,Morocco,MAR,2012,Boxing Men's Light-Welterweight,
135,49,Estonia,EST,2004,Athletics Women's Javelin Throw,
136,49,Estonia,EST,2008,Athletics Women's Javelin Throw,
137,50,Estonia,EST,1992,"Wrestling Men's Heavyweight, Freestyle",
138,50,Estonia,EST,1996,"Wrestling Men's Heavyweight, Freestyle",
139,51,Spain,ESP,2016,Gymnastics Men's Individual All-Around,
140,51,Spain,ESP,2016,Gymnastics Men's Floor Exercise,
141,51,Spain,ESP,2016,Gymnastics Men's Parallel Bars,
142,51,Spain,ESP,2016,Gymnastics Men's Horizontal Bar,
143,51,Spain,ESP,2016,Gymnastics Men's Rings,
144,51,Spain,ESP,2016,Gymnastics Men's Pommelled Horse,
145,52,France,FRA,1976,Athletics Men's Pole Vault,
146,53,Egypt,EGY,2000,Taekwondo Men's Flyweight,
147,54,Iran,IRI,1948,Boxing Men's Heavyweight,
148,55,Spain,ESP,2016,"Athletics Men's 5,000 metres",
149,56,France,FRA,1956,"Cycling Men's Road Race, Individual",
150,56,France,FRA,1956,"Cycling Men's Road Race, Team",Gold
151,57,Bulgaria,BUL,1988,Boxing Men's Light-Welterweight,
152,58,Bulgaria,BUL,1924,"Cycling Men's Road Race, Individual",
153,58,Bulgaria,BUL,1924,"Cycling Men's Road Race, Team",
154,59,Bulgaria,BUL,1956,Weightlifting Men's Lightweight,
155,59,Bulgaria,BUL,1960,Weightlifting Men's Middleweight,
157,61,Bulgaria,BUL,1960,Football Men's Football,
158,62,Italy,ITA,2016,Rowing Men's Coxless Pairs,Bronze
159,63,Spain,ESP,2008,"Fencing Men's epee, Individual",Bronze
160,64,Chad,CHA,1992,Judo Men's Half-Middleweight,
161,65,Azerbaijan,AZE,2016,Taekwondo Women's Flyweight,Bronze
162,66,Sudan,SUD,1972,Boxing Men's Flyweight,
163,67,Russia,RUS,2008,Athletics Women's Javelin Throw,Silver
164,67,Russia,RUS,2012,Athletics Women's Javelin Throw,
166,68,Argentina,ARG,2000,Swimming Men's 4 x 100 metres Medley Relay,
167,69,Spain,ESP,2008,Basketball Women's Basketball,
168,70,Cuba,CUB,2000,Diving Men's Platform,
169,71,Cuba,CUB,1992,"Canoeing Men's Canadian Doubles, 500 metres",
170,71,Cuba,CUB,1992,"Canoeing Men's Canadian Doubles, 1,000 metres",
171,72,Belarus,BLR,2004,"Canoeing Men's Kayak Fours, 1,000 metres",
172,72,Belarus,BLR,2008,"Canoeing Men's Kayak Fours, 1,000 metres",Gold
173,73,France,FRA,2008,Handball Men's Handball,Gold
174,73,France,FRA,2012,Handball Men's Handball,Gold
175,73,France,FRA,2016,Handball Men's Handball,Silver
176,74,Argentina,ARG,2012,Rowing Women's Coxless Pairs,
177,75,Greece,GRE,2004,"Fencing Men's epee, Individual",
178,76,Cameroon,CMR,2000,Football Men's Football,Gold
179,77,Cameroon,CMR,1968,Boxing Men's Middleweight,
180,78,Turkey,TUR,1996,Judo Men's Lightweight,
181,79,Chile,CHI,1924,Boxing Men's Featherweight,
182,80,Spain,ESP,1996,Water Polo Men's Water Polo,Gold
183,81,Greece,GRE,2004,Football Men's Football,
184,82,Mexico,MEX,2000,Tennis Men's Doubles,
185,83,Chile,CHI,1992,Shooting Mixed Skeet,
186,84,United States,USA,2004,"Wrestling Men's Featherweight, Freestyle",Silver
187,85,Spain,ESP,1976,Sailing Mixed Two Person Heavyweight Dinghy,
188,85,Spain,ESP,1980,Sailing Mixed Two Person Heavyweight Dinghy,Gold
189,85,Spain,ESP,1984,Sailing Mixed Two Person Heavyweight Dinghy,
190,86,Spain,ESP,1980,"Athletics Men's 1,500 metres",
191,86,Spain,ESP,1984,"Athletics Men's 1,500 metres",Bronze
192,87,Soviet Union,URS,1964,"Wrestling Men's Light-Heavyweight, Greco-Roman",
193,88,Soviet Union,URS,1980,Athletics Women's Shot Put,
194,89,Chile,CHI,1984,Rowing Men's Coxed Eights,
195,90,Russia,RUS,2004,Cycling Women's Sprint,Silver
196,90,Russia,RUS,2004,Cycling Women's 500 metres Time Trial,
197,91,Italy,ITA,2012,Athletics Men's 110 metres Hurdles,
198,92,Italy,ITA,2008,Football Men's Football,
199,93,France,FRA,2004,Handball Men's Handball,
201,94,Chile,CHI,1984,Shooting Mixed Trap,
202,95,Greece,GRE,2004,Athletics Women's Marathon,
203,96,Nicaragua,NCA,2004,Athletics Men's 100 metres,
204,97,Nicaragua,NCA,1976,Athletics Men's High Jump,
205,98,Mexico,MEX,1968,"Fencing Men's Foil, Individual",
206,98,Mexico,MEX,1968,"Fencing Men's Foil, Team",
207,98,Mexico,MEX,1968,"Fencing Men's Sabre, Team",
208,99,Hungary,HUN,1992,"Fencing Men's Sabre, Team",Silver
209,100,Hungary,HUN,1936,Swimming Men's 100 metres Freestyle,
210,100,Hungary,HUN,1936,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
211,101,Nigeria,NGR,1972,Boxing Men's Lightweight,
213,102,Egypt,EGY,1928,Football Men's Football,
214,103,Italy,ITA,1936,Modern Pentathlon Men's Individual,Bronze
215,104,Chad,CHA,1972,Athletics Men's 100 metres,
216,105,Algeria,ALG,2012,Boxing Men's Welterweight,
217,105,Algeria,ALG,2016,Boxing Men's Middleweight,
218,106,Italy,ITA,1988,Rowing Men's Quadruple Sculls,Gold
219,106,Italy,ITA,1996,Rowing Men's Double Sculls,Gold
220,106,Italy,ITA,2000,Rowing Men's Quadruple Sculls,Gold
221,107,Italy,ITA,1984,Rowing Men's Coxed Pairs,Gold
222,107,Italy,ITA,1988,Rowing Men's Coxed Pairs,Gold
223,107,Italy,ITA,1992,Rowing Men's Coxed Pairs,Silver
224,107,Italy,ITA,1996,Rowing Men's Coxed Eights,
225,108,Italy,ITA,1980,Rowing Men's Coxed Pairs,
229,109,Kuwait,KUW,1976,Athletics Men's 400 metres Hurdles,
230,109,Kuwait,KUW,1976,Athletics Men's 4 x 100 metres Relay,
231,109,Kuwait,KUW,1980,Athletics Men's 400 metres Hurdles,
232,110,Bahrain,BRN,2016,Athletics Men's 400 metres,
233,111,Pakistan,PAK,1996,Athletics Men's Hammer Throw,
234,112,Iraq,IRQ,1964,Weightlifting Men's Lightweight,
236,114,Kuwait,KUW,1980,Athletics Men's Long Jump,
237,115,Pakistan,PAK,1992,Athletics Men's 400 metres Hurdles,
238,116,United Arab Republic,UAR,1960,Weightlifting Men's Featherweight,
239,116,Egypt,EGY,1964,Weightlifting Men's Featherweight,
240,117,Lebanon,LIB,1988,Athletics Men's 400 metres,
241,117,Lebanon,LIB,1988,Athletics Men's 800 metres,
242,118,Egypt,EGY,2000,"Cycling Men's Road Race, Individual",
243,119,Egypt,EGY,1952,Diving Men's Platform,
244,120,Iraq,IRQ,2004,Swimming Men's 100 metres Freestyle,
246,122,Qatar,QAT,2004,Weightlifting Men's Middleweight,
247,123,Pakistan,PAK,2000,Hockey Men's Hockey,
248,123,Pakistan,PAK,2004,Hockey Men's Hockey,
249,123,Pakistan,PAK,2012,Hockey Men's Hockey,
250,124,Egypt,EGY,1952,Basketball Men's Basketball,
251,125,Malaysia,MAS,1984,Hockey Men's Hockey,
254,127,Pakistan,PAK,2008,Hockey Men's Hockey,
256,128,Iran,IRI,2012,Rowing Women's Single Sculls,
257,129,Azerbaijan,AZE,2008,Athletics Men's 100 metres,
258,130,Azerbaijan,AZE,2008,Swimming Men's 50 metres Freestyle,
259,131,Azerbaijan,AZE,2000,Weightlifting Women's Featherweight,
260,132,Italy,ITA,2012,Water Polo Women's Water Polo,
261,133,Germany,GER,1900,Gymnastics Men's Individual All-Around,
262,134,Italy,ITA,2000,Football Men's Football,
263,135,Netherlands,NED,2016,Handball Women's Handball,
264,136,Italy,ITA,2000,Basketball Men's Basketball,
267,138,Iraq,IRQ,2016,Weightlifting Men's Heavyweight,
268,139,Thessalonki-1,GRE,1906,Football Men's Football,Bronze
269,140,Canada,CAN,1996,Sailing Mixed Three Person Keelboat,
270,140,Canada,CAN,2000,Sailing Mixed Three Person Keelboat,
271,141,Ireland,IRL,2016,"Equestrianism Mixed Three-Day Event, Individual",
272,141,Ireland,IRL,2016,"Equestrianism Mixed Three-Day Event, Team",
273,142,United States,USA,1928,"Athletics Men's 5,000 metres",
274,143,Australia,AUS,2008,Hockey Men's Hockey,Bronze
279,146,Canada,CAN,1976,"Canoeing Men's Canadian Doubles, 1,000 metres",
281,148,Canada,CAN,2008,Sailing Women's Three Person Keelboat,
282,149,United States,USA,2016,"Cycling Women's Road Race, Individual",
283,150,United States,USA,1900,Golf Women's Individual,Gold
284,151,United States,USA,1900,Golf Women's Individual,
286,153,United States,USA,2008,Softball Women's Softball,Silver
287,154,Morocco,MAR,2008,Archery Women's Individual,
290,155,Egypt,EGY,2012,"Wrestling Men's Heavyweight, Greco-Roman",
291,156,Egypt,EGY,2008,Volleyball Men's Volleyball,
293,157,Egypt,EGY,2008,Handball Men's Handball,
294,158,Egypt,EGY,2008,Taekwondo Women's Heavyweight,
295,159,Egypt,EGY,2008,Synchronized Swimming Women's Duet,
296,159,Egypt,EGY,2008,Synchronized Swimming Women's Team,
297,159,Egypt,EGY,2012,Synchronized Swimming Women's Team,
298,160,Eritrea,ERI,2008,"Athletics Men's 5,000 metres",
299,161,Egypt,EGY,2016,Volleyball Men's Volleyball,
300,162,Egypt,EGY,1992,Handball Men's Handball,
301,162,Egypt,EGY,1996,Handball Men's Handball,
302,163,United Arab Republic,UAR,1960,Gymnastics Men's Individual All-Around,
303,163,United Arab Republic,UAR,1960,Gymnastics Men's Team All-Around,
304,163,United Arab Republic,UAR,1960,Gymnastics Men's Floor Exercise,
305,163,United Arab Republic,UAR,1960,Gymnastics Men's Horse Vault,
306,163,United Arab Republic,UAR,1960,Gymnastics Men's Parallel Bars,
307,163,United Arab Republic,UAR,1960,Gymnastics Men's Horizontal Bar,
308,163,United Arab Republic,UAR,1960,Gymnastics Men's Rings,
309,163,United Arab Republic,UAR,1960,Gymnastics Men's Pommelled Horse,
310,164,Egypt,EGY,1992,"Fencing Men's Foil, Individual",
311,165,United States,USA,2004,Taekwondo Women's Featherweight,Silver
312,166,Tanzania,TAN,1964,Athletics Men's Marathon,
313,166,Tanzania,TAN,1972,Athletics Men's 4 x 400 metres Relay,
314,167,France,FRA,1952,"Athletics Men's 10,000 metres",
316,169,Jordan,JOR,1984,"Athletics Women's 3,000 metres",
317,170,Egypt,EGY,2016,Diving Women's Platform,
318,171,Egypt,EGY,2000,Volleyball Men's Volleyball,
319,172,Egypt,EGY,2000,"Shooting Men's Air Rifle, 10 metres",
320,173,Sudan,SUD,1972,Football Men's Football,
322,175,Egypt,EGY,1952,Athletics Men's Marathon,
323,176,United Arab Republic,UAR,1960,Athletics Men's Long Jump,
325,178,Sudan,SUD,1960,Boxing Men's Featherweight,
326,178,Sudan,SUD,1968,Boxing Men's Lightweight,
327,179,Sudan,SUD,1972,Athletics Men's 200 metres,
329,180,Egypt,EGY,2000,Synchronized Swimming Women's Duet,
330,180,Egypt,EGY,2004,Synchronized Swimming Women's Duet,
332,182,Egypt,EGY,1992,Hockey Men's Hockey,
333,183,United Arab Republic,UAR,1960,Rowing Men's Coxed Eights,
334,184,Egypt,EGY,2004,Water Polo Men's Water Polo,
335,185,Egypt,EGY,1948,"Fencing Men's Foil, Individual",
336,185,Egypt,EGY,1948,"Fencing Men's Foil, Team",
337,185,Egypt,EGY,1948,"Fencing Men's epee, Team",
338,185,Egypt,EGY,1952,"Fencing Men's Foil, Team",
339,185,Egypt,EGY,1952,"Fencing Men's epee, Team",
340,186,United Arab Republic,UAR,1960,Water Polo Men's Water Polo,
341,187,Egypt,EGY,1976,Weightlifting Men's Flyweight,
342,188,Egypt,EGY,1984,Volleyball Men's Volleyball,
343,189,Sudan,SUD,1968,Boxing Men's Featherweight,
344,190,Egypt,EGY,1948,"Wrestling Men's Featherweight, Freestyle",
345,191,Egypt,EGY,1992,Football Men's Football,
346,192,Egypt,EGY,1972,Basketball Men's Basketball,
347,193,Egypt,EGY,1948,Water Polo Men's Water Polo,
348,193,Egypt,EGY,1948,Swimming Men's 100 metres Freestyle,
349,193,Egypt,EGY,1948,Swimming Men's 100 metres Backstroke,
350,193,Egypt,EGY,1952,Water Polo Men's Water Polo,
351,193,Egypt,EGY,1952,Swimming Men's 100 metres Freestyle,
353,194,United Arab Republic,UAR,1960,Athletics Men's 100 metres,
354,195,Egypt,EGY,1952,Weightlifting Men's Light-Heavyweight,
355,195,United Arab Republic,UAR,1960,Weightlifting Men's Light-Heavyweight,
356,196,Tunisia,TUN,1976,Handball Men's Handball,
357,197,Egypt,EGY,1988,"Wrestling Men's Lightweight, Greco-Roman",
359,199,Egypt,EGY,1984,Basketball Men's Basketball,
360,199,Egypt,EGY,1988,Basketball Men's Basketball,
364,202,Egypt,EGY,1976,Basketball Men's Basketball,
367,204,Libya,LBA,1996,Athletics Men's 400 metres,
368,205,Egypt,EGY,1964,Rowing Men's Coxed Eights,
370,206,Egypt,EGY,1964,Water Polo Men's Water Polo,
371,207,Egypt,EGY,1936,"Fencing Men's Sabre, Individual",
372,207,Egypt,EGY,1948,"Fencing Men's epee, Individual",
374,207,Egypt,EGY,1952,"Fencing Men's epee, Individual",
376,207,Egypt,EGY,1952,"Fencing Men's Sabre, Individual",
377,207,Egypt,EGY,1952,"Fencing Men's Sabre, Team",
378,208,Egypt,EGY,1952,Boxing Men's Welterweight,
381,211,United Arab Republic,UAR,1960,"Fencing Men's Foil, Team",
382,211,Egypt,EGY,1964,"Fencing Men's Foil, Individual",
383,211,Egypt,EGY,1964,"Fencing Men's Foil, Team",
384,212,Egypt,EGY,2008,"Wrestling Men's Super-Heavyweight, Greco-Roman",
385,213,Egypt,EGY,2008,"Shooting Men's Free Pistol, 50 metres",
386,213,Egypt,EGY,2016,"Shooting Men's Air Pistol, 10 metres",
387,213,Egypt,EGY,2016,"Shooting Men's Free Pistol, 50 metres",
389,215,Egypt,EGY,2004,"Fencing Men's epee, Team",
390,216,Egypt,EGY,2000,Rowing Men's Coxless Fours,
391,217,Egypt,EGY,2000,Boxing Men's Light-Flyweight,
392,218,Egypt,EGY,2000,Boxing Men's Super-Heavyweight,
396,222,Egypt,EGY,1976,Boxing Men's Light-Flyweight,
397,223,Egypt,EGY,1948,Gymnastics Men's Individual All-Around,
398,223,Egypt,EGY,1948,Gymnastics Men's Team All-Around,
400,223,Egypt,EGY,1948,Gymnastics Men's Horse Vault,
404,223,Egypt,EGY,1948,Gymnastics Men's Pommelled Horse,
405,224,Egypt,EGY,1948,"Wrestling Men's Flyweight, Greco-Roman",
406,225,Egypt,EGY,2004,"Shooting Women's Air Rifle, 10 metres",
407,225,Egypt,EGY,2008,"Shooting Women's Air Rifle, 10 metres",
408,225,Egypt,EGY,2016,"Shooting Women's Air Rifle, 10 metres",
411,228,Egypt,EGY,2016,Boxing Men's Lightweight,
412,229,Egypt,EGY,2016,Judo Men's Half-Middleweight,
421,231,Egypt,EGY,2008,"Shooting Men's Air Pistol, 10 metres",
422,232,Egypt,EGY,2012,Weightlifting Men's Middleweight,
423,232,Egypt,EGY,2016,Weightlifting Men's Middleweight,
425,234,Sudan,SUD,2008,"Athletics Men's 1,500 metres",
426,235,Egypt,EGY,1984,Football Men's Football,
427,236,Egypt,EGY,2012,Weightlifting Men's Light-Heavyweight,
428,236,Egypt,EGY,2016,Weightlifting Men's Middle-Heavyweight,
429,237,France,FRA,1952,"Athletics Men's 5,000 metres",
430,238,Egypt,EGY,2004,"Shooting Men's Air Rifle, 10 metres",
431,238,Egypt,EGY,2008,"Shooting Men's Air Rifle, 10 metres",
432,239,Algeria,ALG,2016,Football Men's Football,
433,240,Egypt,EGY,2016,Synchronized Swimming Women's Team,
434,241,Egypt,EGY,2012,"Wrestling Men's Lightweight, Greco-Roman",
435,242,Egypt,EGY,2016,Judo Men's Extra-Lightweight,
436,243,Egypt,EGY,2012,Athletics Men's Javelin Throw,
437,244,Egypt,EGY,2000,Gymnastics Men's Individual All-Around,
438,244,Egypt,EGY,2000,Gymnastics Men's Horse Vault,
439,244,Egypt,EGY,2000,Gymnastics Men's Parallel Bars,
440,244,Egypt,EGY,2000,Gymnastics Men's Rings,
441,244,Egypt,EGY,2000,Gymnastics Men's Pommelled Horse,
444,247,Algeria,ALG,1980,"Athletics Men's 5,000 metres",
446,248,Algeria,ALG,1992,Athletics Men's 800 metres,
447,249,Algeria,ALG,2008,Volleyball Women's Volleyball,
448,249,Algeria,ALG,2012,Volleyball Women's Volleyball,
449,250,Iran,IRI,2012,"Wrestling Men's Welterweight, Greco-Roman",
450,250,Iran,IRI,2016,"Wrestling Men's Middleweight, Greco-Roman",Bronze
452,251,Belgium,BEL,2016,"Athletics Men's 10,000 metres",
453,252,Australia,AUS,2008,"Athletics Men's 3,000 metres Steeplechase",
454,252,Australia,AUS,2012,"Athletics Men's 3,000 metres Steeplechase",
455,253,Qatar,QAT,1992,"Athletics Men's 3,000 metres Steeplechase",
456,253,Qatar,QAT,1996,"Athletics Men's 3,000 metres Steeplechase",
457,254,Djibouti,DJI,1988,"Athletics Men's 10,000 metres",
458,254,Djibouti,DJI,1992,Athletics Men's Marathon,
459,255,Egypt,EGY,1928,"Fencing Men's Foil, Individual",
460,255,Egypt,EGY,1928,"Fencing Men's Foil, Team",
461,255,Egypt,EGY,1936,"Fencing Men's Foil, Individual",
462,255,Egypt,EGY,1936,"Fencing Men's Foil, Team",
463,255,Egypt,EGY,1936,"Fencing Men's epee, Individual",
464,255,Egypt,EGY,1936,"Fencing Men's epee, Team",
466,256,United States,USA,2000,"Athletics Men's 10,000 metres",
467,256,United States,USA,2004,"Athletics Men's 10,000 metres",
468,256,United States,USA,2008,"Athletics Men's 10,000 metres",
469,256,United States,USA,2012,Athletics Men's Marathon,
470,257,Australia,AUS,2000,"Wrestling Men's Welterweight, Greco-Roman",
471,257,Australia,AUS,2004,"Wrestling Men's Middleweight, Freestyle",
472,257,Australia,AUS,2008,"Wrestling Men's Middleweight, Freestyle",
474,259,Canada,CAN,1984,Swimming Women's 100 metres Backstroke,
475,259,Canada,CAN,1984,Swimming Women's 200 metres Backstroke,
476,259,Canada,CAN,1984,Swimming Women's 4 x 100 metres Medley Relay,Bronze
478,261,Iran,IRI,1976,Football Men's Football,
479,262,Cameroon,CMR,2012,Boxing Men's Lightweight,
481,264,Canada,CAN,2000,"Wrestling Men's Light-Heavyweight, Freestyle",
483,266,Egypt,EGY,2004,Modern Pentathlon Men's Individual,
484,267,Egypt,EGY,1988,Modern Pentathlon Men's Individual,
485,267,Egypt,EGY,1988,Modern Pentathlon Men's Team,
486,267,Egypt,EGY,1992,Modern Pentathlon Men's Individual,
487,267,Egypt,EGY,1992,Modern Pentathlon Men's Team,
488,268,Chad,CHA,1996,Athletics Men's 200 metres,
489,269,Cameroon,CMR,2016,Volleyball Women's Volleyball,
491,271,Egypt,EGY,1952,Boxing Men's Bantamweight,
493,273,Brunei,BRU,2016,Athletics Women's 200 metres,
494,274,Iraq,IRQ,1980,Athletics Men's 4 x 400 metres Relay,
496,276,Malaysia,MAS,1996,Hockey Men's Hockey,
498,277,Egypt,EGY,2000,Table Tennis Women's Singles,
499,277,Egypt,EGY,2000,Table Tennis Women's Doubles,
500,277,Egypt,EGY,2008,Table Tennis Women's Singles,
502,279,Brunei,BRU,1996,Shooting Men's Skeet,
503,279,Brunei,BRU,2000,Shooting Men's Skeet,
504,280,Sudan,SUD,2000,Swimming Men's 50 metres Freestyle,
505,281,India,IND,1928,Athletics Men's 110 metres Hurdles,
506,281,India,IND,1928,Athletics Men's 400 metres Hurdles,
507,282,Iraq,IRQ,1960,Weightlifting Men's Heavyweight,
508,282,Iraq,IRQ,1964,Weightlifting Men's Heavyweight,
510,284,Syria,SYR,1980,Football Men's Football,
511,285,Iraq,IRQ,1980,Weightlifting Men's Light-Heavyweight,
512,286,Kuwait,KUW,1976,Athletics Men's 200 metres,
514,287,Iraq,IRQ,1960,Boxing Men's Lightweight,
515,288,Qatar,QAT,1992,Athletics Men's 4 x 400 metres Relay,
516,289,Maldives,MDV,1988,Athletics Men's Marathon,
517,290,Bahrain,BRN,2000,Swimming Women's 50 metres Freestyle,
519,292,Iran,IRI,1976,Water Polo Men's Water Polo,
520,293,Jordan,JOR,1984,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",
521,294,Bahrain,BRN,1984,"Shooting Men's Rapid-Fire Pistol, 25 metres",
522,295,Ethiopia,ETH,1972,"Cycling Men's Road Race, Individual",
523,296,Malaysia,MAS,1968,Athletics Men's 400 metres Hurdles,
524,297,Pakistan,PAK,1960,Hockey Men's Hockey,Gold
525,298,Pakistan,PAK,1964,Hockey Men's Hockey,Silver
526,299,Iraq,IRQ,2008,Athletics Women's 100 metres,
527,299,Iraq,IRQ,2012,Athletics Women's 100 metres,
529,300,Iraq,IRQ,1960,Athletics Men's Triple Jump,
530,301,Iraq,IRQ,1960,Athletics Men's High Jump,
531,302,Pakistan,PAK,1948,Hockey Men's Hockey,
532,303,Iraq,IRQ,1980,"Wrestling Men's Flyweight, Greco-Roman",
533,304,Egypt,EGY,1936,Diving Men's Platform,
534,304,Egypt,EGY,1948,Diving Men's Platform,
536,306,United Arab Emirates,UAE,1996,"Shooting Men's Air Rifle, 10 metres",
538,308,Kuwait,KUW,1980,Swimming Men's 400 metres Freestyle,
539,308,Kuwait,KUW,1980,Swimming Men's 100 metres Butterfly,
540,309,Pakistan,PAK,1952,Hockey Men's Hockey,
541,310,Indonesia,INA,2004,Weightlifting Women's Lightweight,
544,313,Nigeria,NGR,1968,Athletics Men's 100 metres,
545,313,Nigeria,NGR,1968,Athletics Men's 4 x 100 metres Relay,
547,313,Nigeria,NGR,1972,Athletics Men's 4 x 100 metres Relay,
548,314,Canada,CAN,2008,Athletics Women's Long Jump,
549,315,Egypt,EGY,2012,"Fencing Women's epee, Individual",
550,316,Soviet Union,URS,1972,"Wrestling Men's Featherweight, Freestyle",Gold
551,317,Philippines,PHI,1968,Swimming Men's 100 metres Freestyle,
552,317,Philippines,PHI,1968,Swimming Men's 200 metres Freestyle,
553,317,Philippines,PHI,1968,Swimming Men's 4 x 100 metres Freestyle Relay,
554,317,Philippines,PHI,1968,Swimming Men's 4 x 200 metres Freestyle Relay,
555,317,Philippines,PHI,1968,Swimming Men's 4 x 100 metres Medley Relay,
560,322,Egypt,EGY,1988,Swimming Men's 200 metres Butterfly,
561,323,United States,USA,2004,Rowing Men's Double Sculls,
562,324,Iraq,IRQ,1992,Weightlifting Men's Middle-Heavyweight,
564,326,United Arab Emirates,UAE,1988,Swimming Men's 4 x 100 metres Freestyle Relay,
565,326,United Arab Emirates,UAE,1988,Swimming Men's 4 x 200 metres Freestyle Relay,
566,326,United Arab Emirates,UAE,1988,Swimming Men's 100 metres Backstroke,
567,326,United Arab Emirates,UAE,1988,Swimming Men's 200 metres Backstroke,
568,326,United Arab Emirates,UAE,1988,Swimming Men's 200 metres Individual Medley,
569,326,United Arab Emirates,UAE,1988,Swimming Men's 4 x 100 metres Medley Relay,
