Nation,NOC,Year,Sport,Event,Medal
Denmark,DEN,1900,Tug-Of-War,Tug-Of-War Men's Tug-Of-War,Gold
Finland,FIN,1920,Swimming,Swimming Men's 200 metres Breaststroke,Bronze
Finland,FIN,1920,Swimming,Swimming Men's 400 metres Breaststroke,Bronze
Finland,FIN,1948,Gymnastics,Gymnastics Men's Individual All-Around,Bronze
Finland,FIN,1948,Gymnastics,Gymnastics Men's Team All-Around,Gold
Finland,FIN,1948,Gymnastics,Gymnastics Men's Horse Vault,Gold
Finland,FIN,1948,Gymnastics,Gymnastics Men's Pommelled Horse,Gold
Finland,FIN,1952,Gymnastics,Gymnastics Men's Team All-Around,Bronze
Norway,NOR,2008,Handball,Handball Women's Handball,Gold
Norway,NOR,1920,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Silver
Netherlands,NED,1988,Hockey,Hockey Women's Hockey,Bronze
Netherlands,NED,1996,Rowing,Rowing Men's Lightweight Double Sculls,Silver
Norway,NOR,1996,Football,Football Women's Football,Bronze
Norway,NOR,1912,Sailing,Sailing Mixed 8 metres,Gold
France,FRA,1956,Cycling,"Cycling Men's Road Race, Team",Gold
Italy,ITA,2016,Rowing,Rowing Men's Coxless Pairs,Bronze
Spain,ESP,2008,Fencing,"Fencing Men's epee, Individual",Bronze
Azerbaijan,AZE,2016,Taekwondo,Taekwondo Women's Flyweight,Bronze
Russia,RUS,2008,Athletics,Athletics Women's Javelin Throw,Silver
Belarus,BLR,2008,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Gold
France,FRA,2008,Handball,Handball Men's Handball,Gold
France,FRA,2012,Handball,Handball Men's Handball,Gold
France,FRA,2016,Handball,Handball Men's Handball,Silver
Cameroon,CMR,2000,Football,Football Men's Football,Gold
Spain,ESP,1996,Water Polo,Water Polo Men's Water Polo,Gold
USA,USA,2004,Wrestling,"Wrestling Men's Featherweight, Freestyle",Silver
Spain,ESP,1980,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,Gold
Spain,ESP,1984,Athletics,"Athletics Men's 1,500 metres",Bronze
Russia,RUS,2004,Cycling,Cycling Women's Sprint,Silver
Hungary,HUN,1992,Fencing,"Fencing Men's Sabre, Team",Silver
Hungary,HUN,1936,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
Italy,ITA,1936,Modern Pentathlon,Modern Pentathlon Men's Individual,Bronze
Italy,ITA,1988,Rowing,Rowing Men's Quadruple Sculls,Gold
Italy,ITA,1996,Rowing,Rowing Men's Double Sculls,Gold
Italy,ITA,2000,Rowing,Rowing Men's Quadruple Sculls,Gold
Italy,ITA,1984,Rowing,Rowing Men's Coxed Pairs,Gold
Italy,ITA,1988,Rowing,Rowing Men's Coxed Pairs,Gold
Italy,ITA,1992,Rowing,Rowing Men's Coxed Pairs,Silver
Greece,GRE,1906,Football,Football Men's Football,Bronze
Australia,AUS,2008,Hockey,Hockey Men's Hockey,Bronze
USA,USA,1900,Golf,Golf Women's Individual,Gold
USA,USA,2008,Softball,Softball Women's Softball,Silver
USA,USA,2004,Taekwondo,Taekwondo Women's Featherweight,Silver
Iran,IRI,2016,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Bronze
Canada,CAN,1984,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Bronze
Pakistan,PAK,1960,Hockey,Hockey Men's Hockey,Gold
Pakistan,PAK,1964,Hockey,Hockey Men's Hockey,Silver
Russia,URS,1972,Wrestling,"Wrestling Men's Featherweight, Freestyle",Gold
Uzbekistan,UZB,2000,Boxing,Boxing Men's Light-Welterweight,Gold
Azerbaijan,AZE,1996,Wrestling,"Wrestling Men's Flyweight, Freestyle",Silver
Azerbaijan,AZE,2000,Wrestling,"Wrestling Men's Bantamweight, Freestyle",Gold
USA,USA,2000,Basketball,Basketball Men's Basketball,Gold
Tajikistan,TJK,2008,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Silver
Russia,EUN,1992,Athletics,Athletics Men's Hammer Throw,Gold
Ethiopia,ETH,1992,Athletics,"Athletics Men's 10,000 metres",Bronze
Switzerland,SUI,1924,Football,Football Men's Football,Silver
Germany,GDR,1972,Gymnastics,Gymnastics Women's Team All-Around,Silver
Canada,CAN,2012,Diving,Diving Women's Synchronized Springboard,Bronze
Norway,NOR,1920,Sailing,Sailing Mixed 7 metres,Silver
Spain,ESP,1992,Football,Football Men's Football,Gold
USA,USA,1900,Rowing,Rowing Men's Coxed Eights,Gold
USA,USA,1904,Rowing,Rowing Men's Coxed Eights,Gold
Ethiopia,ETH,2000,Athletics,Athletics Men's Marathon,Gold
Sweden,SWE,1912,Athletics,Athletics Men's Long Jump,Bronze
Sweden,SWE,1912,Athletics,Athletics Men's Triple Jump,Silver
USA,USA,2000,Baseball,Baseball Men's Baseball,Gold
South Africa,RSA,1956,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
Turkey,TUR,2008,Athletics,"Athletics Women's 5,000 metres",Silver
Bulgaria,BUL,1980,Wrestling,"Wrestling Men's Middleweight, Freestyle",Gold
USA,USA,1932,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
Russia,RUS,2012,Gymnastics,Gymnastics Men's Floor Exercise,Bronze
Russia,RUS,2012,Gymnastics,Gymnastics Men's Horse Vault,Silver
Russia,RUS,2016,Gymnastics,Gymnastics Men's Team All-Around,Silver
Russia,RUS,2016,Gymnastics,Gymnastics Men's Horse Vault,Silver
Russia,RUS,2016,Gymnastics,Gymnastics Men's Rings,Bronze
Russia,URS,1972,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Silver
Russia,URS,1972,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
Australia,AUS,2016,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Bronze
Egypt,EGY,2012,Fencing,"Fencing Men's Foil, Individual",Silver
Hungary,HUN,1988,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",Bronze
Hungary,HUN,1988,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Gold
Hungary,HUN,1992,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Silver
UK,GBR,1980,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Bronze
Sweden,SWE,2004,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Silver
UK,GBR,1924,Athletics,Athletics Men's 100 metres,Gold
UK,GBR,1924,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
Norway,NOR,1912,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Gold
Sweden,SWE,1920,Athletics,Athletics Men's Long Jump,Bronze
Russia,RUS,2004,Volleyball,Volleyball Men's Volleyball,Bronze
Russia,URS,1964,Volleyball,Volleyball Women's Volleyball,Silver
Spain,ESP,2016,Basketball,Basketball Men's Basketball,Bronze
Russia,RUS,2008,Basketball,Basketball Women's Basketball,Bronze
Russia,URS,1980,Wrestling,"Wrestling Men's Lightweight, Freestyle",Gold
France,FRA,2004,Cycling,"Cycling Men's Mountainbike, Cross-Country",Gold
France,FRA,2008,Cycling,"Cycling Men's Mountainbike, Cross-Country",Gold
Jordan,JOR,2016,Taekwondo,Taekwondo Men's Featherweight,Gold
Japan,JPN,1964,Gymnastics,Gymnastics Women's Team All-Around,Bronze
Russia,URS,1980,Fencing,"Fencing Men's epee, Team",Bronze
Russia,URS,1980,Wrestling,"Wrestling Men's Featherweight, Freestyle",Gold
Romania,ROU,2008,Gymnastics,Gymnastics Women's Team All-Around,Bronze
Spain,ESP,1920,Football,Football Men's Football,Silver
Puerto Rico,PUR,1992,Boxing,Boxing Men's Welterweight,Bronze
Mexico,MEX,1984,Wrestling,"Wrestling Men's Flyweight, Greco-Roman",Silver
Ghana,GHA,1992,Football,Football Men's Football,Bronze
Switzerland,SUI,1984,Cycling,Cycling Men's 100 kilometres Team Time Trial,Silver
Morocco,MAR,1988,Boxing,Boxing Men's Featherweight,Bronze
Morocco,MAR,1992,Boxing,Boxing Men's Bantamweight,Bronze
Netherlands,NED,2012,Rowing,Rowing Women's Coxed Eights,Bronze
Netherlands,NED,2016,Rowing,Rowing Women's Quadruple Sculls,Silver
Sweden,SWE,1920,Gymnastics,"Gymnastics Men's Team All-Around, Swedish System",Gold
New Zealand,NZL,1976,Hockey,Hockey Men's Hockey,Gold
USA,USA,1920,Wrestling,"Wrestling Men's Featherweight, Freestyle",Gold
Argentina,ARG,2008,Football,Football Men's Football,Gold
Cuba,CUB,2008,Boxing,Boxing Men's Heavyweight,Bronze
Uruguay,URU,1952,Basketball,Basketball Men's Basketball,Bronze
Poland,POL,1980,Boxing,Boxing Men's Lightweight,Bronze
USA,USA,1936,Rowing,Rowing Men's Coxed Eights,Gold
Czech Republic,TCH,1976,Modern Pentathlon,Modern Pentathlon Men's Team,Silver
Germany,GER,1936,Fencing,"Fencing Men's Foil, Team",Bronze
France,FRA,1948,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Gold
Poland,POL,1992,Football,Football Men's Football,Silver
USA,USA,1912,Athletics,Athletics Men's Standing High Jump,Silver
USA,USA,1912,Athletics,Athletics Men's Standing Long Jump,Bronze
USA,USA,1904,Swimming,Swimming Men's Plunge For Distance,Silver
USA,USA,1912,Shooting,"Shooting Men's Military Rifle, 200, 400, 500 and 600 metres, Team",Gold
UK,GBR,1980,Judo,Judo Men's Lightweight,Silver
UK,GBR,1984,Judo,Judo Men's Half-Middleweight,Silver
UK,GBR,2012,Boxing,Boxing Women's Flyweight,Gold
UK,GBR,2016,Boxing,Boxing Women's Flyweight,Gold
USA,USA,1912,Athletics,Athletics Men's Standing High Jump,Gold
USA,USA,1912,Athletics,Athletics Men's Standing Long Jump,Silver
USA,USA,2016,Volleyball,Volleyball Women's Volleyball,Bronze
New Zealand,NZL,2008,Athletics,Athletics Women's Shot Put,Gold
New Zealand,NZL,2012,Athletics,Athletics Women's Shot Put,Gold
New Zealand,NZL,2016,Athletics,Athletics Women's Shot Put,Silver
Germany,GER,2012,Rowing,Rowing Men's Coxed Eights,Gold
Germany,GER,1936,Rowing,Rowing Men's Coxed Pairs,Gold
Poland,POL,1960,Boxing,Boxing Men's Featherweight,Silver
Switzerland,SUI,1920,Shooting,"Shooting Men's Military Rifle, 300 metres and 600 metres, Prone, Team",Bronze
Nigeria,NGR,2008,Football,Football Men's Football,Silver
Brazil,BRA,1984,Football,Football Men's Football,Silver
Brazil,BRA,1988,Football,Football Men's Football,Silver
Nigeria,NGR,1992,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
Brazil,BRA,2012,Volleyball,Volleyball Women's Volleyball,Gold
France,FRA,1992,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",Bronze
France,FRA,1996,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",Gold
USA,USA,1952,Boxing,Boxing Men's Light-Welterweight,Gold
USA,USA,1996,Athletics,Athletics Men's 400 metres Hurdles,Gold
UK,GBR,1948,Hockey,Hockey Men's Hockey,Silver
Brazil,BRA,1984,Sailing,Sailing Mixed Three Person Keelboat,Silver
Germany,GER,1960,Cycling,Cycling Men's 100 kilometres Team Time Trial,Silver
Austria,AUT,1912,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
Sweden,SWE,1936,Equestrianism,"Equestrianism Men's Dressage, Team",Bronze
Sweden,SWE,1912,Equestrianism,"Equestrianism Men's Three-Day Event, Team",Gold
Sweden,SWE,1908,Tennis,"Tennis Women's Singles, Covered Courts",Bronze
Sweden,SWE,1912,Diving,Diving Men's Platform,Gold
Sweden,SWE,1912,Diving,Diving Men's Plain High,Gold
Sweden,SWE,1920,Diving,Diving Men's Platform,Silver
UK,GBR,2008,Swimming,Swimming Women's 400 metres Freestyle,Gold
UK,GBR,2008,Swimming,Swimming Women's 800 metres Freestyle,Gold
UK,GBR,2012,Swimming,Swimming Women's 400 metres Freestyle,Bronze
UK,GBR,2012,Swimming,Swimming Women's 800 metres Freestyle,Bronze
Lithuania,LTU,2000,Basketball,Basketball Men's Basketball,Bronze
USA,USA,2008,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
USA,USA,2012,Swimming,Swimming Men's 100 metres Freestyle,Gold
USA,USA,2012,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Silver
USA,USA,2012,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
USA,USA,2016,Swimming,Swimming Men's 50 metres Freestyle,Bronze
USA,USA,2016,Swimming,Swimming Men's 100 metres Freestyle,Bronze
USA,USA,2016,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
USA,USA,2016,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
Brazil,BRA,1996,Basketball,Basketball Women's Basketball,Silver
Brazil,BRA,2000,Basketball,Basketball Women's Basketball,Bronze
Hungary,HUN,1996,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Silver
Germany,GER,1964,Rowing,Rowing Men's Coxed Eights,Silver
Russia,RUS,2012,Gymnastics,Gymnastics Women's Team All-Around,Silver
Nigeria,NGR,1996,Athletics,Athletics Women's 4 x 400 metres Relay,Silver
Romania,ROU,1976,Rowing,Rowing Women's Coxed Quadruple Sculls,Bronze
South Africa,RSA,2016,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,Bronze
Romania,ROU,1984,Gymnastics,Gymnastics Women's Team All-Around,Gold
Romania,ROU,1984,Gymnastics,Gymnastics Women's Horse Vault,Bronze
Italy,ITA,2004,Rowing,Rowing Men's Coxless Fours,Bronze
Italy,ITA,2008,Rowing,Rowing Men's Quadruple Sculls,Silver
USA,USA,1996,Tennis,Tennis Men's Singles,Gold
France,FRA,2016,Judo,Judo Women's Half-Middleweight,Silver
Norway,NOR,1920,Sailing,Sailing Mixed 6 metres,Bronze
Russia,URS,1956,Water Polo,Water Polo Men's Water Polo,Bronze
Russia,URS,1960,Water Polo,Water Polo Men's Water Polo,Silver
Russia,URS,1964,Water Polo,Water Polo Men's Water Polo,Bronze
Netherlands,NED,2008,Hockey,Hockey Women's Hockey,Gold
Netherlands,NED,2012,Hockey,Hockey Women's Hockey,Gold
France,FRA,2012,Swimming,Swimming Men's 200 metres Freestyle,Gold
France,FRA,2012,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
France,FRA,2012,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Silver
Hungary,HUN,1964,Fencing,"Fencing Women's Foil, Team",Gold
Italy,ITA,1928,Fencing,"Fencing Men's epee, Team",Gold
Italy,ITA,1932,Fencing,"Fencing Men's epee, Individual",Bronze
Italy,ITA,1932,Fencing,"Fencing Men's epee, Team",Silver
Italy,ITA,1948,Fencing,"Fencing Men's epee, Team",Silver
Sweden,SWE,1936,Boxing,Boxing Men's Lightweight,Bronze
Greece,GRE,1906,Rowing,Rowing Men's 17-Man Naval Rowing Boats,Gold
Netherlands,NED,1928,Gymnastics,Gymnastics Women's Team All-Around,Gold
Cuba,CUB,2000,Volleyball,Volleyball Women's Volleyball,Gold
Cuba,CUB,1980,Boxing,Boxing Men's Light-Welterweight,Bronze
Spain,ESP,2012,Handball,Handball Women's Handball,Bronze
Spain,ESP,2016,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Silver
Cuba,CUB,1992,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze
Indonesia,INA,2016,Weightlifting,Weightlifting Women's Flyweight,Silver
USA,USA,2008,Volleyball,Volleyball Women's Volleyball,Silver
UK,GBR,1908,Athletics,Athletics Men's Triple Jump,Gold
Finland,FIN,1932,Boxing,Boxing Men's Welterweight,Bronze
Finland,FIN,1924,Wrestling,"Wrestling Men's Bantamweight, Greco-Roman",Silver
Sweden,SWE,1912,Wrestling,"Wrestling Men's Middleweight B, Greco-Roman",Silver
USA,USA,1948,Rowing,Rowing Men's Coxed Eights,Gold
Germany,GER,2004,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze
Germany,GER,2016,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze
Sweden,SWE,1932,Boxing,Boxing Men's Lightweight,Silver
Sweden,SWE,1952,Football,Football Men's Football,Bronze
Indonesia,INA,2016,Badminton,Badminton Mixed Doubles,Gold
Sweden,SWE,1948,Athletics,Athletics Men's Triple Jump,Gold
Germany,GER,2000,Beach Volleyball,Beach Volleyball Men's Beach Volleyball,Bronze
USA,USA,1992,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
USA,USA,1992,Swimming,Swimming Women's 100 metres Butterfly,Silver
USA,USA,1992,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold
Pakistan,PAK,1992,Hockey,Hockey Men's Hockey,Bronze
Pakistan,PAK,1968,Hockey,Hockey Men's Hockey,Gold
Pakistan,PAK,1984,Hockey,Hockey Men's Hockey,Gold
Pakistan,PAK,1972,Hockey,Hockey Men's Hockey,Silver
Finland,FIN,1912,Sailing,Sailing Mixed 8 metres,Bronze
Germany,GER,1964,Sailing,Sailing Mixed Three Person Keelboat,Silver
Germany,GDR,1976,Rowing,Rowing Women's Coxed Eights,Gold
USA,USA,2004,Rowing,Rowing Men's Coxed Eights,Gold
Chile,CHI,1956,Athletics,Athletics Women's Javelin Throw,Silver
Italy,ITA,2012,Water Polo,Water Polo Men's Water Polo,Silver
Italy,ITA,2016,Water Polo,Water Polo Men's Water Polo,Bronze
Argentina,ARG,2000,Hockey,Hockey Women's Hockey,Silver
Argentina,ARG,2004,Hockey,Hockey Women's Hockey,Bronze
Argentina,ARG,2008,Hockey,Hockey Women's Hockey,Bronze
Italy,ITA,2016,Water Polo,Water Polo Women's Water Polo,Silver
Austria,AUT,1924,Weightlifting,Weightlifting Men's Heavyweight,Silver
Germany,GER,2012,Canoeing,"Canoeing Men's Kayak Singles, Slalom",Bronze
Japan,JPN,1956,Gymnastics,Gymnastics Men's Team All-Around,Silver
Japan,JPN,1956,Gymnastics,Gymnastics Men's Floor Exercise,Silver
Japan,JPN,1960,Gymnastics,Gymnastics Men's Team All-Around,Gold
Japan,JPN,1960,Gymnastics,Gymnastics Men's Floor Exercise,Gold
Japan,JPN,1992,Gymnastics,Gymnastics Men's Team All-Around,Bronze
Japan,JPN,2004,Baseball,Baseball Men's Baseball,Bronze
Australia,AUS,1956,Rowing,Rowing Men's Coxed Eights,Bronze
UK,GBR,1996,Sailing,Sailing Mixed One Person Dinghy,Silver
UK,GBR,2000,Sailing,Sailing Mixed One Person Dinghy,Gold
UK,GBR,2004,Sailing,Sailing Men's One Person Dinghy,Gold
UK,GBR,2008,Sailing,Sailing Mixed One Person Dinghy,Gold
UK,GBR,2012,Sailing,Sailing Men's One Person Heavyweight Dinghy,Gold
UK,GBR,1920,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
UK,GBR,1968,Sailing,Sailing Mixed 5.5 metres,Bronze
Canada,CAN,1936,Basketball,Basketball Men's Basketball,Silver
UK,GBR,1912,Tennis,"Tennis Mixed Doubles, Covered Courts",Silver
Australia,AUS,1992,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Silver
Australia,AUS,1996,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Bronze
Australia,AUS,2000,Cycling,Cycling Men's Madison,Gold
France,FRA,1900,Rugby,Rugby Men's Rugby,Gold
Ukraine,UKR,2008,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Gold
Greece,GRE,2000,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Bronze
Nigeria,NGR,2016,Football,Football Men's Football,Bronze
Cuba,CUB,1992,Baseball,Baseball Men's Baseball,Gold
Cuba,CUB,1996,Baseball,Baseball Men's Baseball,Gold
Cuba,CUB,2000,Baseball,Baseball Men's Baseball,Silver
Canada,CAN,2016,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze
Nigeria,NGR,1996,Athletics,Athletics Women's Long Jump,Gold
UK,GBR,1984,Athletics,Athletics Men's 4 x 400 metres Relay,Silver
UK,GBR,1992,Athletics,Athletics Men's 400 metres Hurdles,Bronze
UK,GBR,1992,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze
Japan,JPN,1984,Wrestling,"Wrestling Men's Featherweight, Freestyle",Silver
Japan,JPN,1992,Wrestling,"Wrestling Men's Lightweight, Freestyle",Bronze
Turkey,TUR,1948,Wrestling,"Wrestling Men's Bantamweight, Freestyle",Gold
Turkey,TUR,1956,Wrestling,"Wrestling Men's Flyweight, Freestyle",Bronze
Turkey,TUR,1964,Wrestling,"Wrestling Men's Bantamweight, Freestyle",Silver
Turkey,TUR,1972,Wrestling,"Wrestling Men's Featherweight, Freestyle",Silver
Sweden,SWE,1948,Canoeing,"Canoeing Men's Kayak Doubles, 10,000 metres",Gold
Sweden,SWE,1952,Canoeing,"Canoeing Men's Kayak Doubles, 10,000 metres",Silver
Sweden,SWE,1932,Sailing,Sailing Mixed 6 metres,Gold
USA,USA,1996,Football,Football Women's Football,Gold
Turkey,TUR,2016,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",Gold
Russia,URS,1980,Volleyball,Volleyball Women's Volleyball,Gold
Uzbekistan,UZB,2016,Boxing,Boxing Men's Bantamweight,Bronze
Russia,RUS,2016,Fencing,"Fencing Men's Foil, Team",Gold
Russia,RUS,2008,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",Silver
Bulgaria,BUL,1964,Wrestling,"Wrestling Men's Heavyweight, Freestyle",Silver
Russia,URS,1980,Hockey,Hockey Women's Hockey,Bronze
Russia,URS,1960,Rowing,Rowing Men's Coxless Fours,Bronze
Uganda,UGA,1972,Athletics,Athletics Men's 400 metres Hurdles,Gold
Russia,URS,1972,Water Polo,Water Polo Men's Water Polo,Gold
Russia,URS,1980,Water Polo,Water Polo Men's Water Polo,Gold
USA,USA,2016,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
USA,USA,2012,Volleyball,Volleyball Women's Volleyball,Silver
Russia,RUS,2004,Weightlifting,Weightlifting Men's Middle-Heavyweight,Silver
Russia,RUS,2008,Weightlifting,Weightlifting Men's Middle-Heavyweight,Bronze
Russia,RUS,2000,Water Polo,Water Polo Women's Water Polo,Bronze
Russia,EUN,1992,Weightlifting,Weightlifting Men's Heavyweight II,Silver
USA,USA,2016,Fencing,"Fencing Women's Sabre, Team",Bronze
Russia,URS,1976,Athletics,Athletics Women's 4 x 400 metres Relay,Bronze
Russia,URS,1976,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze
Russia,URS,1980,Athletics,Athletics Men's 4 x 100 metres Relay,Gold
Russia,RUS,1996,Rowing,Rowing Men's Coxed Eights,Bronze
Russia,URS,1980,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Bronze
Russia,URS,1976,Sailing,Sailing Mixed Two Person Keelboat,Silver
Syria,SYR,2004,Boxing,Boxing Men's Heavyweight,Bronze
Qatar,QAT,2012,Shooting,Shooting Men's Skeet,Bronze
Kuwait,KUW,2000,Shooting,Shooting Men's Double Trap,Bronze
Kuwait,KUW,2012,Shooting,Shooting Men's Trap,Bronze
Individual Olympic Athletes,IOA,2016,Shooting,Shooting Men's Double Trap,Gold
Saudi Arabia,KSA,2012,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze
Saudi Arabia,KSA,2000,Equestrianism,"Equestrianism Mixed Jumping, Individual",Bronze
United Arab Emirates,UAE,2004,Shooting,Shooting Men's Double Trap,Gold
Individual Olympic Athletes,IOA,2016,Shooting,Shooting Men's Skeet,Bronze
Saudi Arabia,KSA,2000,Athletics,Athletics Men's 400 metres Hurdles,Silver
Spain,ESP,2012,Sailing,Sailing Women's Windsurfer,Gold
Russia,URS,1964,Basketball,Basketball Men's Basketball,Silver
Russia,URS,1972,Wrestling,"Wrestling Men's Flyweight, Freestyle",Silver
Pakistan,PAK,1956,Hockey,Hockey Men's Hockey,Silver
Croatia,CRO,1992,Basketball,Basketball Men's Basketball,Silver
Italy,ITA,1968,Sailing,Sailing Mixed One Person Dinghy,Bronze
France,FRA,1920,Tennis,Tennis Men's Doubles,Bronze
Russia,RUS,2012,Weightlifting,Weightlifting Men's Super-Heavyweight,Bronze
Spain,ESP,2000,Football,Football Men's Football,Silver
Germany,FRG,1984,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Bronze
Italy,ITA,1976,Water Polo,Water Polo Men's Water Polo,Silver
France,FRA,1900,Sailing,Sailing Mixed 1-2 Ton,Silver
France,FRA,1900,Sailing,Sailing Mixed 1-2 Ton,Bronze
Hungary,HUN,1960,Football,Football Men's Football,Bronze
Denmark,DEN,1920,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Gold
Sweden,SWE,1948,Athletics,"Athletics Men's 10,000 metres",Bronze
Italy,ITA,1968,Rowing,Rowing Men's Coxless Fours,Bronze
Russia,RUS,2008,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",Gold
Switzerland,SUI,1924,Rowing,Rowing Men's Coxless Fours,Bronze
Switzerland,SUI,1924,Rowing,Rowing Men's Coxed Fours,Gold
Sweden,SWE,1976,Sailing,Sailing Mixed Two Person Keelboat,Gold
USA,USA,1936,Athletics,Athletics Men's High Jump,Silver
Russia,URS,1960,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Bronze
Brazil,BRA,1996,Football,Football Men's Football,Bronze
Cuba,CUB,1976,Boxing,Boxing Men's Light-Welterweight,Silver
Cuba,CUB,1980,Boxing,Boxing Men's Welterweight,Gold
UK,GBR,1920,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Silver
UK,GBR,1920,Cycling,Cycling Men's 50 kilometres,Silver
UK,GBR,1924,Cycling,Cycling Men's 50 kilometres,Silver
USA,USA,1928,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
USA,USA,1952,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
Spain,ESP,2008,Hockey,Hockey Men's Hockey,Silver
New Zealand,NZL,2012,Sailing,Sailing Women's Two Person Dinghy,Gold
New Zealand,NZL,2016,Sailing,Sailing Women's Two Person Dinghy,Silver
Lithuania,LTU,2000,Athletics,Athletics Men's Discus Throw,Gold
Lithuania,LTU,2004,Athletics,Athletics Men's Discus Throw,Gold
Lithuania,LTU,2008,Athletics,Athletics Men's Discus Throw,Bronze
Bulgaria,BUL,1980,Weightlifting,Weightlifting Men's Middle-Heavyweight,Silver
Russia,URS,1976,Rowing,Rowing Women's Coxed Quadruple Sculls,Silver
Russia,URS,1980,Rowing,Rowing Women's Double Sculls,Gold
Armenia,ARM,2012,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Bronze
Armenia,ARM,2016,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Gold
Russia,URS,1972,Weightlifting,Weightlifting Men's Super-Heavyweight,Gold
Russia,URS,1976,Weightlifting,Weightlifting Men's Super-Heavyweight,Gold
Russia,URS,1964,Diving,Diving Women's Platform,Bronze
Serbia,SRB,2012,Water Polo,Water Polo Men's Water Polo,Bronze
Serbia,SRB,2016,Water Polo,Water Polo Men's Water Polo,Gold
USA,USA,1932,Fencing,"Fencing Men's Foil, Team",Bronze
Germany,GER,1932,Rowing,Rowing Men's Coxless Fours,Silver
Brazil,BRA,2012,Football,Football Men's Football,Silver
UK,GBR,1908,Lacrosse,Lacrosse Men's Lacrosse,Silver
Canada,CAN,1996,Synchronized Swimming,Synchronized Swimming Women's Team,Silver
UK,GBR,1960,Fencing,"Fencing Men's epee, Team",Silver
Canada,CAN,2000,Rowing,Rowing Women's Coxed Eights,Bronze
France,FRA,1984,Judo,Judo Men's Half-Lightweight,Bronze
France,FRA,1988,Judo,Judo Men's Lightweight,Gold
Brazil,BRA,2008,Football,Football Men's Football,Bronze
Romania,ROU,1980,Wrestling,"Wrestling Men's Light-Flyweight, Greco-Roman",Silver
Romania,ROU,1972,Boxing,Boxing Men's Heavyweight,Silver
